run_id,method,seq,t_recv_ns,t_parse_start_ns,t_parse_end_ns,t_ros_publish_ns,payload_size_bytes,status
R01,ROS_TCP,1,1782054780017377233,1782054780017485694,1782054780018845273,1782054780019043032,79,ok
R01,ROS_TCP,2,1782054780060183024,1782054780060253515,1782054780061842364,1782054780062085601,74,ok
R01,ROS_TCP,3,1782054780114948436,1782054780115105010,1782054780116025725,1782054780116433433,78,ok
R01,ROS_TCP,4,1782054780170487322,1782054780170649048,1782054780172420484,1782054780172717559,77,ok
R01,ROS_TCP,5,1782054780232409774,1782054780232601441,1782054780233540585,1782054780233832453,80,ok
R01,ROS_TCP,6,1782054780282412790,1782054780282617506,1782054780285848040,1782054780286264342,74,ok
R01,ROS_TCP,7,1782054780336178488,1782054780336325350,1782054780337660735,1782054780337885181,81,parse_error
R01,ROS_TCP,8,1782054780391710111,1782054780391858638,1782054780392969561,1782054780393312156,77,ok
R01,ROS_TCP,9,1782054780462639650,1782054780462787494,1782054780463840637,1782054780464218628,79,ok
R01,ROS_TCP,10,1782054780514901655,1782054780515055223,1782054780515949643,1782054780516423293,74,ok
R01,ROS_TCP,11,1782054780568899458,1782054780569082676,1782054780570382843,1782054780570606470,83,ok
R01,ROS_TCP,12,1782054780616364497,1782054780616426975,1782054780618235965,1782054780618624833,73,ok
R01,ROS_TCP,13,1782054780680335647,1782054780680490863,1782054780681939577,1782054780682261378,79,ok
R01,ROS_TCP,14,1782054780727309414,1782054780727541543,1782054780729095005,1782054780729521447,81,ok
R01,ROS_TCP,15,1782054780783445788,1782054780783622531,1782054780786808831,1782054780787233722,81,ok
R01,ROS_TCP,16,1782054780838771206,1782054780838983247,1782054780842287917,1782054780842456115,73,ok
R01,ROS_TCP,17,1782054780895429154,1782054780895662667,1782054780896966268,1782054780897386235,76,ok
R01,ROS_TCP,18,1782054780949940360,1782054780950024888,1782054780951987864,1782054780952299976,74,ok
R01,ROS_TCP,19,1782054781005304965,1782054781005509077,1782054781007016393,1782054781007470363,73,ok
R01,ROS_TCP,20,1782054781059947135,1782054781060137984,1782054781060630805,1782054781061029113,82,ok
R01,ROS_TCP,21,1782054781123437111,1782054781123671957,1782054781125355343,1782054781125678725,76,ok
