run_id,method,seq,command_type,linear_x,linear_y,angular_z,action_id,t_unity_send_ns,payload_size_bytes
R01,ROS_TCP,1,velocity,0.1301,0.0,0.0,0,1782054780002151787,79
R01,ROS_TCP,2,velocity,0.1255,0.0,0.0,0,1782054780055707226,74
R01,ROS_TCP,3,velocity,0.123,0.0,0.0,0,1782054780110537934,78
R01,ROS_TCP,4,velocity,0.1291,0.0,0.0,0,1782054780165949428,77
R01,ROS_TCP,5,velocity,0.1316,0.0,0.0,0,1782054780220965999,80
R01,ROS_TCP,6,velocity,0.1281,0.0,0.0,0,1782054780276695037,74
R01,ROS_TCP,7,velocity,0.1317,0.0,0.0,0,1782054780331824622,81
R01,ROS_TCP,8,velocity,0.1261,0.0,0.0,0,1782054780387344923,77
R01,ROS_TCP,9,velocity,0.126,0.0,0.0,0,1782054780443028441,79
R01,ROS_TCP,10,velocity,0.125,0.0,0.0,0,1782054780500914690,74
R01,ROS_TCP,11,velocity,0.1214,0.0,0.0,0,1782054780557013696,83
R01,ROS_TCP,12,velocity,0.1296,0.0,0.0,0,1782054780612075836,73
R01,ROS_TCP,13,velocity,0.1291,0.0,0.0,0,1782054780667856462,79
R01,ROS_TCP,14,velocity,0.1322,0.0,0.0,0,1782054780722834053,81
R01,ROS_TCP,15,velocity,0.1266,0.0,0.0,0,1782054780778469777,81
R01,ROS_TCP,16,velocity,0.1296,0.0,0.0,0,1782054780834494632,73
R01,ROS_TCP,17,velocity,0.1281,0.0,0.0,0,1782054780888199966,76
R01,ROS_TCP,18,velocity,0.1266,0.0,0.0,0,1782054780945471191,74
R01,ROS_TCP,19,velocity,0.1404,0.0,0.0,0,1782054781000760280,73
R01,ROS_TCP,20,velocity,0.1291,0.0,0.0,0,1782054781055504038,82
R01,ROS_TCP,21,velocity,0.1271,0.0,0.0,0,1782054781113013935,76
R01,ROS_TCP,22,velocity,0.1296,0.0,0.0,0,1782054781167990380,78
R01,ROS_TCP,23,velocity,0.124,0.0,0.0,0,1782054781224493003,75
R01,ROS_TCP,24,velocity,0.1283,0.0,0.0,0,1782054781280220660,76
R01,ROS_TCP,25,velocity,0.1328,0.0,0.0,0,1782054781336664363,75
R01,ROS_TCP,26,velocity,0.1225,0.0,0.0,0,1782054781390221469,80
R01,ROS_TCP,27,velocity,0.1238,0.0,0.0,0,1782054781445620850,74
R01,ROS_TCP,28,velocity,0.1254,0.0,0.0,0,1782054781500574094,83
R01,ROS_TCP,29,velocity,0.1283,0.0,0.0,0,1782054781556497054,79
R01,ROS_TCP,30,velocity,0.1316,0.0,0.0,0,1782054781613148535,78
R01,ROS_TCP,31,velocity,0.1296,0.0,0.0,0,1782054781668752054,72
R01,ROS_TCP,32,velocity,0.1274,0.0,0.0,0,1782054781725043287,78
R01,ROS_TCP,33,velocity,0.1233,0.0,0.0,0,1782054781780346005,74
R01,ROS_TCP,34,velocity,0.1262,0.0,0.0,0,1782054781835426066,81
R01,ROS_TCP,35,velocity,0.1229,0.0,0.0,0,1782054781890782034,80
R01,ROS_TCP,36,velocity,0.1241,0.0,0.0,0,1782054781946939894,73
R01,ROS_TCP,37,velocity,0.1359,0.0,0.0,0,1782054782003016016,78
R01,ROS_TCP,38,velocity,0.1315,0.0,0.0,0,1782054782057663004,72
R01,ROS_TCP,39,velocity,0.1278,0.0,0.0,0,1782054782113993028,73
R01,ROS_TCP,40,velocity,0.1505,0.0,0.0,0,1782054782171071655,81
R01,ROS_TCP,41,velocity,0.1553,0.0,0.0,0,1782054782226701903,80
R01,ROS_TCP,42,velocity,0.1565,0.0,0.0,0,1782054782282188458,80
R01,ROS_TCP,43,velocity,0.155,0.0,0.0,0,1782054782337012014,73
R01,ROS_TCP,44,velocity,0.1587,0.0,0.0,0,1782054782395044630,79
R01,ROS_TCP,45,velocity,0.1551,0.0,0.0,0,1782054782449099564,83
R01,ROS_TCP,46,velocity,0.1569,0.0,0.0,0,1782054782505564459,75
R01,ROS_TCP,47,velocity,0.1457,0.0,0.0,0,1782054782559816720,76
R01,ROS_TCP,48,velocity,0.1557,0.0,0.0,0,1782054782616118163,78
R01,ROS_TCP,49,velocity,0.1609,0.0,0.0,0,1782054782674359989,72
R01,ROS_TCP,50,velocity,0.149,0.0,0.0,0,1782054782729109798,77
R01,ROS_TCP,51,velocity,0.1579,0.0,0.0,0,1782054782784566252,80
R01,ROS_TCP,52,velocity,0.1604,0.0,0.0,0,1782054782839020145,74
R01,ROS_TCP,53,velocity,0.1625,0.0,0.0,0,1782054782895184838,80
R01,ROS_TCP,54,velocity,0.1669,0.0,0.0,0,1782054782950880545,76
R01,ROS_TCP,55,velocity,0.1538,0.0,0.0,0,1782054783005770516,79
R01,ROS_TCP,56,velocity,0.1574,0.0,0.0,0,1782054783062708622,75
R01,ROS_TCP,57,velocity,0.1554,0.0,0.0,0,1782054783117415380,77
R01,ROS_TCP,58,velocity,0.1645,0.0,0.0,0,1782054783172334680,74
R01,ROS_TCP,59,velocity,0.1548,0.0,0.0,0,1782054783229614437,80
R01,ROS_TCP,60,velocity,0.1589,0.0,0.0,0,1782054783285438540,81
R01,ROS_TCP,61,velocity,0.1592,0.0,0.0,0,1782054783339142444,73
R01,ROS_TCP,62,velocity,0.158,0.0,0.0,0,1782054783395279094,81
R01,ROS_TCP,63,velocity,0.1624,0.0,0.0,0,1782054783449247745,82
R01,ROS_TCP,64,velocity,0.1644,0.0,0.0,0,1782054783505919233,81
R01,ROS_TCP,65,velocity,0.1544,0.0,0.0,0,1782054783561667009,82
R01,ROS_TCP,66,velocity,0.1591,0.0,0.0,0,1782054783617091113,79
R01,ROS_TCP,67,velocity,0.1616,0.0,0.0,0,1782054783673620081,80
R01,ROS_TCP,68,velocity,0.1598,0.0,0.0,0,1782054783728843346,80
R01,ROS_TCP,69,velocity,0.1549,0.0,0.0,0,1782054783783549954,73
R01,ROS_TCP,70,velocity,0.1541,0.0,0.0,0,1782054783838586116,82
R01,ROS_TCP,71,velocity,0.155,0.0,0.0,0,1782054783895419447,81
R01,ROS_TCP,72,velocity,0.1567,0.0,0.0,0,1782054783950344098,72
R01,ROS_TCP,73,velocity,0.1616,0.0,0.0,0,1782054784006532863,76
R01,ROS_TCP,74,velocity,0.158,0.0,0.0,0,1782054784060682822,79
R01,ROS_TCP,75,velocity,0.1557,0.0,0.0,0,1782054784119086483,74
R01,ROS_TCP,76,velocity,0.158,0.0,0.0,0,1782054784174357971,79
R01,ROS_TCP,77,velocity,0.1539,0.0,0.0,0,1782054784231847530,78
R01,ROS_TCP,78,velocity,0.154,0.0,0.0,0,1782054784286345561,77
R01,ROS_TCP,79,velocity,0.1604,0.0,0.0,0,1782054784340553650,81
R01,ROS_TCP,80,velocity,0.1623,0.0,0.0,0,1782054784396436096,83
