run_id,method,seq,t_recv_ns,t_parse_start_ns,t_parse_end_ns,t_ros_publish_ns,payload_size_bytes,status
R01,ROS_TCP,1,1782055080002847501,1782055080002951920,1782055080004158742,1782055080004594912,63,ok
R01,ROS_TCP,2,1782055080058370680,1782055080058439302,1782055080059888969,1782055080060229785,67,ok
R01,ROS_TCP,3,1782055080112354333,1782055080112459050,1782055080113628769,1782055080114053271,63,dropped
R01,ROS_TCP,4,1782055080169542550,1782055080169699456,1782055080170989062,1782055080171407948,61,parse_error
R01,ROS_TCP,5,1782055080228977117,1782055080229095077,1782055080230563057,1782055080230958001,61,ok
R01,ROS_TCP,6,1782055080279837686,1782055080279968422,1782055080281407533,1782055080281585405,63,dropped
R01,ROS_TCP,7,1782055080336597779,1782055080336804595,1782055080337979740,1782055080338192536,58,ok
R01,ROS_TCP,8,1782055080400584008,1782055080400668638,1782055080401772977,1782055080402060450,59,ok
R01,ROS_TCP,9,1782055080446929453,1782055080447085608,1782055080447947851,1782055080448131766,66,ok
R01,ROS_TCP,10,1782055080501363353,1782055080501452131,1782055080504302130,1782055080504726860,59,ok
R01,ROS_TCP,11,1782055080558149377,1782055080558320308,1782055080559519925,1782055080559843464,64,ok
R01,ROS_TCP,12,1782055080627599034,1782055080627806385,1782055080629204438,1782055080629524244,61,ok
R01,ROS_TCP,13,1782055080668676900,1782055080668915095,1782055080669906603,1782055080670319689,69,ok
R01,ROS_TCP,14,1782055080724480322,1782055080724642710,1782055080725726328,1782055080725860828,60,ok
R01,ROS_TCP,15,1782055080794817334,1782055080794949931,1782055080795880632,1782055080796354504,64,ok
R01,ROS_TCP,16,1782055080852718721,1782055080852967452,1782055080854684123,1782055080854939982,69,ok
R01,ROS_TCP,17,1782055080891115011,1782055080891309974,1782055080892746786,1782055080893124488,63,ok
R01,ROS_TCP,18,1782055080946473360,1782055080946654911,1782055080947735535,1782055080948199090,58,ok
R01,ROS_TCP,19,1782055081002490892,1782055081002727786,1782055081003618651,1782055081003738659,58,ok
R01,ROS_TCP,20,1782055081065548164,1782055081065646029,1782055081066757970,1782055081066916127,63,parse_error
R01,ROS_TCP,21,1782055081113525280,1782055081113587343,1782055081114483036,1782055081114945454,60,ok
R01,ROS_TCP,22,1782055081169473818,1782055081169633080,1782055081171276022,1782055081171461337,68,ok
R01,ROS_TCP,23,1782055081224519261,1782055081224651322,1782055081225744632,1782055081226150978,59,ok
R01,ROS_TCP,24,1782055081278339350,1782055081278584080,1782055081279762014,1782055081280012410,68,ok
R01,ROS_TCP,25,1782055081334744685,1782055081334929085,1782055081336602787,1782055081336801264,62,ok
R01,ROS_TCP,26,1782055081393133444,1782055081393346355,1782055081394558578,1782055081394764482,65,dropped
R01,ROS_TCP,27,1782055081447797480,1782055081447951200,1782055081449438450,1782055081449846306,63,dropped
R01,ROS_TCP,28,1782055081503149927,1782055081503342344,1782055081504566811,1782055081504976075,63,ok
R01,ROS_TCP,29,1782055081567869728,1782055081567935666,1782055081569925881,1782055081570192558,59,ok
R01,ROS_TCP,30,1782055081619001419,1782055081619102345,1782055081620176054,1782055081620450561,62,ok
