run_id,method,seq,t_robot_recv_ns,ros_topic,linear_x,linear_y,angular_z,action_id,status
R01,UDP,1,1782055080006399064,/cmd_vel,0.0,0.0,0.0,0,ok
R01,UDP,2,1782055080062026315,/cmd_vel,0.0,0.0,0.0,0,ok
R01,UDP,5,1782055080232698762,/cmd_vel,0.0,0.0,0.0,0,ok
R01,UDP,7,1782055080346837593,/cmd_vel,0.0,0.0,0.0,0,ok
R01,UDP,8,1782055080403838560,/cmd_vel,0.0,0.0,0.0,0,ok
R01,UDP,9,1782055080455005187,/cmd_vel,0.0,0.0,0.0,0,ok
R01,UDP,10,1782055080508317517,/cmd_vel,0.0,0.0,0.0,0,ok
R01,UDP,11,1782055080569272367,/cmd_vel,0.0,0.0,0.0,0,ok
R01,UDP,12,1782055080638646927,/cmd_vel,0.0,0.0,0.0,0,ok
R01,UDP,13,1782055080672093868,/cmd_vel,0.0,0.0,0.0,0,ok
R01,UDP,14,1782055080734596825,/cmd_vel,0.0,0.0,0.0,0,ok
R01,UDP,15,1782055080798081824,/cmd_vel,0.0,0.0,0.0,0,ok
R01,UDP,16,1782055080859392457,/cmd_vel,0.0,0.0,0.0,0,ok
R01,UDP,17,1782055080894899682,/cmd_vel,0.0,0.0,0.0,0,ok
R01,UDP,18,1782055080949984799,/cmd_vel,0.0,0.0,0.0,0,ok
R01,UDP,19,1782055081009209426,/cmd_vel,0.0,0.0,0.0,0,ok
R01,UDP,21,1782055081122900880,/cmd_vel,0.0,0.0,0.0,0,ok
R01,UDP,22,1782055081173200422,/cmd_vel,0.0,0.0,0.0,0,ok
R01,UDP,23,1782055081227927971,/cmd_vel,0.0,0.0,0.0,0,ok
R01,UDP,24,1782055081281715159,/cmd_vel,0.0,0.0,0.0,0,ok
R01,UDP,25,1782055081343725712,/cmd_vel,0.0,0.0,0.0,0,ok
R01,UDP,28,1782055081506670685,/cmd_vel,0.0,0.0,0.0,0,ok
R01,UDP,29,1782055081571972406,/cmd_vel,0.0,0.0,0.0,0,ok
R01,UDP,30,1782055081622223219,/cmd_vel,0.0,0.0,0.0,0,ok
