run_id,method,seq,t_recv_ns,t_parse_start_ns,t_parse_end_ns,t_ros_publish_ns,payload_size_bytes,status
R01,ROS_TCP,1,1782055380117034808,1782055380117095400,1782055380118247029,1782055380118422785,76,ok
R01,ROS_TCP,2,1782055380155352191,1782055380155547091,1782055380156609732,1782055380156950789,81,ok
R01,ROS_TCP,3,1782055380213159987,1782055380213259899,1782055380214151865,1782055380214486388,77,parse_error
R01,ROS_TCP,4,1782055380268273790,1782055380268453586,1782055380269820191,1782055380269977603,81,ok
R01,ROS_TCP,5,1782055380321670233,1782055380321836740,1782055380322814874,1782055380323258290,79,ok
R01,ROS_TCP,6,1782055380377749194,1782055380377815627,1782055380379207934,1782055380379670407,79,ok
R01,ROS_TCP,7,1782055380432812112,1782055380432958205,1782055380434192672,1782055380434658440,76,ok
R01,ROS_TCP,8,1782055380489780981,1782055380490030466,1782055380491066988,1782055380491524585,77,parse_error
R01,ROS_TCP,9,1782055380546886103,1782055380547121830,1782055380548179791,1782055380548375961,73,ok
R01,ROS_TCP,10,1782055380600766092,1782055380600901385,1782055380603352588,1782055380603757022,79,ok
R01,ROS_TCP,11,1782055380672404175,1782055380672565508,1782055380673699426,1782055380674057673,77,ok
R01,ROS_TCP,12,1782055380714195072,1782055380714440608,1782055380715646327,1782055380715943602,72,ok
R01,ROS_TCP,13,1782055380770732906,1782055380770847446,1782055380773342671,1782055380773592140,72,ok
R01,ROS_TCP,14,1782055380838914544,1782055380839158815,1782055380840451002,1782055380840654685,81,ok
R01,ROS_TCP,15,1782055380894298490,1782055380894382563,1782055380895325538,1782055380895460521,82,ok
R01,ROS_TCP,16,1782055380939049914,1782055380939169606,1782055380940526105,1782055380940851681,77,ok
R01,ROS_TCP,17,1782055381005069696,1782055381005183222,1782055381006579851,1782055381006770916,74,ok
R01,ROS_TCP,18,1782055381045908541,1782055381046109864,1782055381047421778,1782055381047723225,72,ok
R01,ROS_TCP,19,1782055381102300347,1782055381102542823,1782055381103734834,1782055381103873618,74,ok
R01,ROS_TCP,20,1782055381157799406,1782055381158000654,1782055381158878563,1782055381159170077,77,ok
R01,ROS_TCP,21,1782055381216131333,1782055381216313346,1782055381217509280,1782055381217937205,75,ok
R01,ROS_TCP,22,1782055381272334682,1782055381272557596,1782055381273466015,1782055381273755614,77,parse_error
R01,ROS_TCP,23,1782055381326068657,1782055381326178288,1782055381327677946,1782055381328024982,78,ok
R01,ROS_TCP,24,1782055381380851824,1782055381381011478,1782055381382446419,1782055381382732487,77,ok
R01,ROS_TCP,25,1782055381436074185,1782055381436313057,1782055381437770732,1782055381438118421,73,ok
R01,ROS_TCP,26,1782055381498212350,1782055381498284253,1782055381499697538,1782055381500153943,81,ok
R01,ROS_TCP,27,1782055381547428714,1782055381547622239,1782055381549120705,1782055381549454347,78,ok
R01,ROS_TCP,28,1782055381616009066,1782055381616144379,1782055381617351736,1782055381617533720,73,ok
R01,ROS_TCP,29,1782055381658722371,1782055381658811172,1782055381660335699,1782055381660602091,78,ok
R01,ROS_TCP,30,1782055381713785298,1782055381713901358,1782055381715086729,1782055381715231069,82,ok
R01,ROS_TCP,31,1782055381781048528,1782055381781253082,1782055381782615446,1782055381782873180,76,ok
R01,ROS_TCP,32,1782055381837188537,1782055381837306896,1782055381838397969,1782055381838564695,82,ok
R01,ROS_TCP,33,1782055381884586307,1782055381884743234,1782055381885652688,1782055381885853664,79,ok
R01,ROS_TCP,34,1782055381938591709,1782055381938725189,1782055381940814806,1782055381941279455,77,parse_error
R01,ROS_TCP,35,1782055382002136988,1782055382002314664,1782055382003437801,1782055382003611972,81,ok
R01,ROS_TCP,36,1782055382062494147,1782055382062736090,1782055382064040509,1782055382064446134,76,ok
R01,ROS_TCP,37,1782055382104807658,1782055382105051984,1782055382106433740,1782055382106874784,81,ok
R01,ROS_TCP,38,1782055382162288931,1782055382162363424,1782055382163539835,1782055382164014482,73,ok
R01,ROS_TCP,39,1782055382217680673,1782055382217750844,1782055382219084018,1782055382219289013,75,ok
R01,ROS_TCP,40,1782055382274922454,1782055382275108080,1782055382276352822,1782055382276798124,78,ok
R01,ROS_TCP,41,1782055382333694436,1782055382333763379,1782055382335073653,1782055382335239181,72,ok
R01,ROS_TCP,42,1782055382385993890,1782055382386137110,1782055382387276740,1782055382387698984,72,ok
R01,ROS_TCP,43,1782055382455754354,1782055382455957570,1782055382457178254,1782055382457492516,78,ok
R01,ROS_TCP,44,1782055382496941917,1782055382497165491,1782055382499268011,1782055382499739208,75,ok
R01,ROS_TCP,45,1782055382565980477,1782055382566125971,1782055382567359554,1782055382567769676,81,dropped
R01,ROS_TCP,46,1782055382626635558,1782055382626724799,1782055382627747555,1782055382627882162,73,duplicate
R01,ROS_TCP,47,1782055382671616296,1782055382671838606,1782055382672929288,1782055382673327565,73,ok
R01,ROS_TCP,48,1782055382727385625,1782055382727450143,1782055382728530208,1782055382728901909,75,ok
R01,ROS_TCP,49,1782055382777430322,1782055382777543836,1782055382778549953,1782055382779017428,73,ok
R01,ROS_TCP,50,1782055382830041530,1782055382830250009,1782055382832481969,1782055382832933844,80,ok
R01,ROS_TCP,51,1782055382899512335,1782055382899601105,1782055382900730986,1782055382900946155,79,ok
R01,ROS_TCP,52,1782055382940936707,1782055382941062581,1782055382941979041,1782055382942409135,73,ok
R01,ROS_TCP,53,1782055382998222269,1782055382998394976,1782055382999750581,1782055383000122053,79,ok
R01,ROS_TCP,54,1782055383052891488,1782055383053060596,1782055383054337222,1782055383054696584,72,ok
R01,ROS_TCP,55,1782055383107397656,1782055383107521356,1782055383108737376,1782055383109204172,82,ok
R01,ROS_TCP,56,1782055383163895665,1782055383164129204,1782055383165499905,1782055383165892880,77,ok
R01,ROS_TCP,57,1782055383232108646,1782055383232348283,1782055383233253388,1782055383233577222,75,ok
R01,ROS_TCP,58,1782055383290488036,1782055383290559385,1782055383291535516,1782055383292014431,73,ok
R01,ROS_TCP,59,1782055383331744177,1782055383331948268,1782055383333166061,1782055383333415092,77,ok
R01,ROS_TCP,60,1782055383386713921,1782055383386837298,1782055383387754582,1782055383388015660,77,ok
R01,ROS_TCP,61,1782055383447006320,1782055383447244104,1782055383448373584,1782055383448814904,83,ok
R01,ROS_TCP,62,1782055383498342815,1782055383498464974,1782055383499546814,1782055383499752072,77,ok
R01,ROS_TCP,63,1782055383551127287,1782055383551346436,1782055383552353552,1782055383552570952,77,ok
R01,ROS_TCP,64,1782055383617879486,1782055383618122900,1782055383619347855,1782055383619788481,78,ok
R01,ROS_TCP,65,1782055383664411416,1782055383664519244,1782055383665672766,1782055383665813022,80,ok
R01,ROS_TCP,66,1782055383734222648,1782055383734335693,1782055383735530849,1782055383735962482,80,ok
R01,ROS_TCP,67,1782055383774270347,1782055383774516759,1782055383775684020,1782055383775897807,80,ok
R01,ROS_TCP,68,1782055383849786786,1782055383849871862,1782055383850890143,1782055383851105891,79,ok
R01,ROS_TCP,69,1782055383885237359,1782055383885411605,1782055383886534618,1782055383886805090,82,ok
R01,ROS_TCP,70,1782055383942278699,1782055383942402528,1782055383943497474,1782055383943737655,74,ok
R01,ROS_TCP,71,1782055384007889816,1782055384008037645,1782055384009344784,1782055384009795844,73,ok
R01,ROS_TCP,72,1782055384061639338,1782055384061764479,1782055384062336008,1782055384062814460,79,ok
R01,ROS_TCP,73,1782055384123666406,1782055384123802760,1782055384125242362,1782055384125530055,74,ok
R01,ROS_TCP,74,1782055384179013780,1782055384179171634,1782055384180187712,1782055384180445471,78,ok
R01,ROS_TCP,75,1782055384233462241,1782055384233656989,1782055384234866908,1782055384235211680,81,ok
R01,ROS_TCP,76,1782055384285770359,1782055384285961838,1782055384287190869,1782055384287661703,78,ok
R01,ROS_TCP,77,1782055384339366319,1782055384339422900,1782055384340697811,1782055384340894081,83,ok
R01,ROS_TCP,78,1782055384398274253,1782055384398392189,1782055384399313970,1782055384399556081,78,dropped
R01,ROS_TCP,79,1782055384441227907,1782055384441378783,1782055384442450726,1782055384442802690,73,ok
R01,ROS_TCP,80,1782055384504199616,1782055384504367994,1782055384505500962,1782055384505687514,72,duplicate
R01,ROS_TCP,81,1782055384551155041,1782055384551224741,1782055384552574789,1782055384552702400,73,ok
R01,ROS_TCP,82,1782055384611518162,1782055384611689866,1782055384612776233,1782055384612969882,73,ok
R01,ROS_TCP,83,1782055384664252926,1782055384664343843,1782055384665449478,1782055384665776882,79,ok
R01,ROS_TCP,84,1782055384724221875,1782055384724424918,1782055384725318750,1782055384725540556,83,dropped
R01,ROS_TCP,85,1782055384776162346,1782055384776319655,1782055384778573752,1782055384779023381,80,ok
R01,ROS_TCP,86,1782055384844977819,1782055384845219867,1782055384846351743,1782055384846518393,83,ok
R01,ROS_TCP,87,1782055384889644467,1782055384889761024,1782055384892072797,1782055384892484155,82,ok
R01,ROS_TCP,88,1782055384957055923,1782055384957125821,1782055384958322929,1782055384958609252,76,ok
R01,ROS_TCP,89,1782055384992677338,1782055384992870497,1782055384993733601,1782055384994006291,77,parse_error
R01,ROS_TCP,90,1782055385068960811,1782055385069035988,1782055385070351174,1782055385070476661,81,ok
R01,ROS_TCP,91,1782055385106165008,1782055385106396441,1782055385107300961,1782055385107674272,81,ok
R01,ROS_TCP,92,1782055385175789796,1782055385176004974,1782055385176924095,1782055385177131975,80,ok
R01,ROS_TCP,93,1782055385233902603,1782055385234093452,1782055385235120408,1782055385235563346,75,ok
R01,ROS_TCP,94,1782055385278997250,1782055385279235916,1782055385280450800,1782055385280789873,80,ok
R01,ROS_TCP,95,1782055385347314628,1782055385347506366,1782055385348362469,1782055385348809108,78,dropped
R01,ROS_TCP,96,1782055385391027228,1782055385391202695,1782055385392284087,1782055385392454495,79,ok
R01,ROS_TCP,97,1782055385453930590,1782055385454022679,1782055385455015240,1782055385455230158,73,duplicate
R01,ROS_TCP,98,1782055385505266040,1782055385505339686,1782055385506537178,1782055385506973106,82,ok
R01,ROS_TCP,99,1782055385560873736,1782055385560998491,1782055385561915740,1782055385562238628,73,ok
R01,ROS_TCP,100,1782055385607604661,1782055385607677905,1782055385608639380,1782055385609019511,73,ok
R01,ROS_TCP,101,1782055385681095551,1782055385681317346,1782055385682623204,1782055385682907398,76,ok
R01,ROS_TCP,102,1782055385719991699,1782055385720071841,1782055385721306441,1782055385721639214,79,ok
R01,ROS_TCP,103,1782055385773283766,1782055385773479027,1782055385774379407,1782055385774799522,73,ok
R01,ROS_TCP,104,1782055385829302477,1782055385829363989,1782055385830293281,1782055385830677616,83,ok
R01,ROS_TCP,105,1782055385884534917,1782055385884741511,1782055385885753141,1782055385886213634,77,ok
R01,ROS_TCP,106,1782055385945664652,1782055385945822543,1782055385946853001,1782055385947238720,76,ok
R01,ROS_TCP,107,1782055385998094737,1782055385998233377,1782055385999378213,1782055385999765311,72,ok
R01,ROS_TCP,108,1782055386051664786,1782055386051913245,1782055386053256921,1782055386053496584,73,ok
R01,ROS_TCP,109,1782055386117672205,1782055386117874135,1782055386118754183,1782055386119092794,78,ok
R01,ROS_TCP,110,1782055386169959849,1782055386170141684,1782055386171444759,1782055386171760989,82,ok
R01,ROS_TCP,111,1782055386216612735,1782055386216858899,1782055386217885018,1782055386218306409,80,ok
R01,ROS_TCP,112,1782055386275300945,1782055386275391399,1782055386276590603,1782055386276828450,83,ok
