run_id,method,seq,command_type,linear_x,linear_y,angular_z,action_id,t_unity_send_ns,payload_size_bytes
R01,ROS_TCP,1,velocity,0.1252,0.0,0.0788,0,1782055380000871521,76
R01,ROS_TCP,2,velocity,0.1245,0.0,0.0965,0,1782055380055389144,81
R01,ROS_TCP,3,velocity,0.126,0.0,0.0813,0,1782055380110791351,77
R01,ROS_TCP,4,velocity,0.1185,0.0,0.0827,0,1782055380168284284,81
R01,ROS_TCP,5,velocity,0.1283,0.0,0.0842,0,1782055380221421764,79
R01,ROS_TCP,6,velocity,0.1258,0.0,0.0826,0,1782055380279064411,79
R01,ROS_TCP,7,velocity,0.1207,0.0,0.0936,0,1782055380333332318,76
R01,ROS_TCP,8,velocity,0.1209,0.0,0.0874,0,1782055380390581672,77
R01,ROS_TCP,9,velocity,0.128,0.0,0.0786,0,1782055380447113415,73
R01,ROS_TCP,10,velocity,0.1311,0.0,0.0832,0,1782055380502400583,79
R01,ROS_TCP,11,velocity,0.1231,0.0,0.0928,0,1782055380557488659,77
R01,ROS_TCP,12,velocity,0.1309,0.0,0.0871,0,1782055380613863363,72
R01,ROS_TCP,13,velocity,0.1307,0.0,0.0883,0,1782055380669158749,72
R01,ROS_TCP,14,velocity,0.1303,0.0,0.079,0,1782055380723110850,81
R01,ROS_TCP,15,velocity,0.1289,0.0,0.0836,0,1782055380779216443,82
R01,ROS_TCP,16,velocity,0.1313,0.0,0.0938,0,1782055380833679885,77
R01,ROS_TCP,17,velocity,0.1303,0.0,0.0865,0,1782055380892429111,74
R01,ROS_TCP,18,velocity,0.1253,0.0,0.0875,0,1782055380947244248,72
R01,ROS_TCP,19,velocity,0.129,0.0,0.0838,0,1782055381003345809,74
R01,ROS_TCP,20,velocity,0.1274,0.0,0.084,0,1782055381058563003,77
R01,ROS_TCP,21,velocity,0.1285,0.0,0.0857,0,1782055381114385646,75
R01,ROS_TCP,22,velocity,0.1237,0.0,0.094,0,1782055381170034364,77
R01,ROS_TCP,23,velocity,0.1189,0.0,0.1388,0,1782055381226052421,78
R01,ROS_TCP,24,velocity,0.1118,0.0,0.1432,0,1782055381280783935,77
R01,ROS_TCP,25,velocity,0.1151,0.0,0.1419,0,1782055381335752281,73
R01,ROS_TCP,26,velocity,0.1149,0.0,0.1364,0,1782055381391193663,81
R01,ROS_TCP,27,velocity,0.1137,0.0,0.1318,0,1782055381447155172,78
R01,ROS_TCP,28,velocity,0.1122,0.0,0.1401,0,1782055381503652792,73
R01,ROS_TCP,29,velocity,0.1126,0.0,0.1469,0,1782055381559265094,78
R01,ROS_TCP,30,velocity,0.1129,0.0,0.1451,0,1782055381614715330,82
R01,ROS_TCP,31,velocity,0.1114,0.0,0.1385,0,1782055381670870043,76
R01,ROS_TCP,32,velocity,0.1081,0.0,0.1369,0,1782055381727440853,82
R01,ROS_TCP,33,velocity,0.1178,0.0,0.1393,0,1782055381784257220,79
R01,ROS_TCP,34,velocity,0.1106,0.0,0.1331,0,1782055381839525969,77
