run_id,method,seq,t_robot_recv_ns,ros_topic,linear_x,linear_y,angular_z,action_id,status
R01,ROS_TCP,1,1782055380127178666,/cmd_vel,0.1252,0.0,0.0788,0,ok
R01,ROS_TCP,2,1782055380158439985,/cmd_vel,0.1245,0.0,0.0965,0,ok
R01,ROS_TCP,4,1782055380271666357,/cmd_vel,0.1185,0.0,0.0827,0,ok
R01,ROS_TCP,5,1782055380326750551,/cmd_vel,0.1283,0.0,0.0842,0,ok
R01,ROS_TCP,6,1782055380381419485,/cmd_vel,0.1258,0.0,0.0826,0,ok
R01,ROS_TCP,7,1782055380441638777,/cmd_vel,0.1207,0.0,0.0936,0,ok
R01,ROS_TCP,9,1782055380550062207,/cmd_vel,0.128,0.0,0.0786,0,ok
R01,ROS_TCP,10,1782055380605365589,/cmd_vel,0.1311,0.0,0.0832,0,ok
R01,ROS_TCP,11,1782055380675751271,/cmd_vel,0.1231,0.0,0.0928,0,ok
R01,ROS_TCP,12,1782055380717437737,/cmd_vel,0.1309,0.0,0.0871,0,ok
R01,ROS_TCP,13,1782055380775272666,/cmd_vel,0.1307,0.0,0.0883,0,ok
R01,ROS_TCP,14,1782055380842136657,/cmd_vel,0.1303,0.0,0.079,0,ok
R01,ROS_TCP,15,1782055380896953423,/cmd_vel,0.1289,0.0,0.0836,0,ok
R01,ROS_TCP,16,1782055380942580718,/cmd_vel,0.1313,0.0,0.0938,0,ok
R01,ROS_TCP,17,1782055381013893679,/cmd_vel,0.1303,0.0,0.0865,0,ok
R01,ROS_TCP,18,1782055381049176271,/cmd_vel,0.1253,0.0,0.0875,0,ok
R01,ROS_TCP,19,1782055381105341298,/cmd_vel,0.129,0.0,0.0838,0,ok
R01,ROS_TCP,20,1782055381160811813,/cmd_vel,0.1274,0.0,0.084,0,ok
R01,ROS_TCP,21,1782055381219555676,/cmd_vel,0.1285,0.0,0.0857,0,ok
R01,ROS_TCP,23,1782055381329672658,/cmd_vel,0.1189,0.0,0.1388,0,ok
R01,ROS_TCP,24,1782055381384365304,/cmd_vel,0.1118,0.0,0.1432,0,ok
R01,ROS_TCP,25,1782055381439654656,/cmd_vel,0.1151,0.0,0.1419,0,ok
R01,ROS_TCP,26,1782055381501797947,/cmd_vel,0.1149,0.0,0.1364,0,ok
R01,ROS_TCP,27,1782055381552634267,/cmd_vel,0.1137,0.0,0.1318,0,ok
R01,ROS_TCP,28,1782055381619018347,/cmd_vel,0.1122,0.0,0.1401,0,ok
R01,ROS_TCP,29,1782055381662150173,/cmd_vel,0.1126,0.0,0.1469,0,ok
R01,ROS_TCP,30,1782055381716711857,/cmd_vel,0.1129,0.0,0.1451,0,ok
R01,ROS_TCP,31,1782055381784561995,/cmd_vel,0.1114,0.0,0.1385,0,ok
R01,ROS_TCP,32,1782055381840169248,/cmd_vel,0.1081,0.0,0.1369,0,ok
R01,ROS_TCP,33,1782055381887537790,/cmd_vel,0.1178,0.0,0.1393,0,ok
R01,ROS_TCP,35,1782055382005174110,/cmd_vel,0.1146,0.0,0.1279,0,ok
R01,ROS_TCP,36,1782055382070199140,/cmd_vel,0.1108,0.0,0.1449,0,ok
R01,ROS_TCP,37,1782055382108441565,/cmd_vel,0.112,0.0,0.1384,0,ok
R01,ROS_TCP,38,1782055382165575215,/cmd_vel,0.1143,0.0,0.1394,0,ok
R01,ROS_TCP,39,1782055382221374224,/cmd_vel,0.1111,0.0,0.1397,0,ok
R01,ROS_TCP,40,1782055382278405168,/cmd_vel,0.1141,0.0,0.1445,0,ok
R01,ROS_TCP,41,1782055382336691421,/cmd_vel,0.1134,0.0,0.1406,0,ok
R01,ROS_TCP,42,1782055382389344237,/cmd_vel,0.1104,0.0,0.1395,0,ok
R01,ROS_TCP,43,1782055382459101832,/cmd_vel,0.1066,0.0,0.1312,0,ok
R01,ROS_TCP,44,1782055382508434206,/cmd_vel,0.1159,0.0,0.1316,0,ok
R01,ROS_TCP,47,1782055382679805098,/cmd_vel,0.1172,0.0,0.1317,0,ok
R01,ROS_TCP,48,1782055382736826665,/cmd_vel,0.1087,0.0,0.138,0,ok
R01,ROS_TCP,49,1782055382784346341,/cmd_vel,0.1159,0.0,0.1399,0,ok
R01,ROS_TCP,50,1782055382834442391,/cmd_vel,0.1085,0.0,0.1396,0,ok
R01,ROS_TCP,51,1782055382905226411,/cmd_vel,0.1201,0.0,0.1383,0,ok
R01,ROS_TCP,52,1782055382943949286,/cmd_vel,0.1131,0.0,0.1399,0,ok
R01,ROS_TCP,53,1782055383001707932,/cmd_vel,0.1124,0.0,0.1457,0,ok
R01,ROS_TCP,54,1782055383056231835,/cmd_vel,0.1096,0.0,0.1438,0,ok
R01,ROS_TCP,55,1782055383110842455,/cmd_vel,0.1121,0.0,0.1415,0,ok
R01,ROS_TCP,56,1782055383167448410,/cmd_vel,0.115,0.0,0.1418,0,ok
R01,ROS_TCP,57,1782055383242585161,/cmd_vel,0.1083,0.0,0.137,0,ok
R01,ROS_TCP,58,1782055383293527332,/cmd_vel,0.1161,0.0,0.144,0,ok
R01,ROS_TCP,59,1782055383335865855,/cmd_vel,0.1091,0.0,0.1375,0,ok
R01,ROS_TCP,60,1782055383389523073,/cmd_vel,0.114,0.0,0.1434,0,ok
R01,ROS_TCP,61,1782055383453665513,/cmd_vel,0.1107,0.0,0.1451,0,ok
R01,ROS_TCP,62,1782055383504328930,/cmd_vel,0.1172,0.0,0.1364,0,ok
R01,ROS_TCP,63,1782055383554163186,/cmd_vel,0.117,0.0,0.1387,0,ok
R01,ROS_TCP,64,1782055383627704446,/cmd_vel,0.111,0.0,0.1338,0,ok
R01,ROS_TCP,65,1782055383672253854,/cmd_vel,0.1108,0.0,0.1428,0,ok
R01,ROS_TCP,66,1782055383740173346,/cmd_vel,0.1146,0.0,0.146,0,ok
R01,ROS_TCP,67,1782055383777419656,/cmd_vel,0.1155,0.0,0.1443,0,ok
R01,ROS_TCP,68,1782055383852652108,/cmd_vel,0.1144,0.0,0.1378,0,ok
R01,ROS_TCP,69,1782055383888165907,/cmd_vel,0.1132,0.0,0.1454,0,ok
R01,ROS_TCP,70,1782055383945337796,/cmd_vel,0.1118,0.0,0.1357,0,ok
R01,ROS_TCP,71,1782055384011341022,/cmd_vel,0.1094,0.0,0.1553,0,ok
R01,ROS_TCP,72,1782055384064411104,/cmd_vel,0.1104,0.0,0.1461,0,ok
R01,ROS_TCP,73,1782055384127129383,/cmd_vel,0.1071,0.0,0.1385,0,ok
R01,ROS_TCP,74,1782055384182108536,/cmd_vel,0.1168,0.0,0.1434,0,ok
R01,ROS_TCP,75,1782055384236816629,/cmd_vel,0.093,0.0,-0.0009,0,ok
R01,ROS_TCP,76,1782055384289070315,/cmd_vel,0.0957,0.0,0.0074,0,ok
R01,ROS_TCP,77,1782055384348514806,/cmd_vel,0.0884,0.0,0.0013,0,ok
R01,ROS_TCP,79,1782055384445720002,/cmd_vel,0.0882,0.0,0.0138,0,ok
R01,ROS_TCP,81,1782055384554328348,/cmd_vel,0.0901,0.0,0.0079,0,ok
R01,ROS_TCP,82,1782055384616631026,/cmd_vel,0.0878,0.0,0.0089,0,ok
R01,ROS_TCP,83,1782055384667450763,/cmd_vel,0.0922,0.0,0.0092,0,ok
R01,ROS_TCP,85,1782055384780662843,/cmd_vel,0.0885,0.0,0.005,0,ok
R01,ROS_TCP,86,1782055384852905753,/cmd_vel,0.0853,0.0,0.0083,0,ok
R01,ROS_TCP,87,1782055384894174268,/cmd_vel,0.0872,0.0,0.0046,0,ok
R01,ROS_TCP,88,1782055384960145131,/cmd_vel,0.0949,0.0,0.0029,0,ok
R01,ROS_TCP,90,1782055385071884775,/cmd_vel,0.0869,0.0,0.0078,0,ok
