run_id,method,seq,t_recv_ns,t_parse_start_ns,t_parse_end_ns,t_ros_publish_ns,payload_size_bytes,status
R01,ROS_TCP,1,1782055680098765563,1782055680098867944,1782055680100316051,1782055680100512769,75,parse_error
R01,ROS_TCP,2,1782055680156157983,1782055680156371001,1782055680158055889,1782055680158359637,82,ok
R01,ROS_TCP,3,1782055680212863343,1782055680213062423,1782055680214276151,1782055680214728643,76,ok
R01,ROS_TCP,4,1782055680268175499,1782055680268334792,1782055680269943703,1782055680270201764,75,ok
R01,ROS_TCP,5,1782055680321801564,1782055680321952033,1782055680323452775,1782055680323620337,73,ok
R01,ROS_TCP,6,1782055680376321168,1782055680376405953,1782055680377743341,1782055680378081686,78,ok
R01,ROS_TCP,7,1782055680478532023,1782055680478718602,1782055680479881398,1782055680480176587,76,ok
R01,ROS_TCP,8,1782055680487195071,1782055680487421247,1782055680488616386,1782055680489031723,77,ok
R01,ROS_TCP,9,1782055680543038356,1782055680543271399,1782055680544833342,1782055680545212034,82,ok
R01,ROS_TCP,10,1782055680624279725,1782055680624354439,1782055680625675078,1782055680625909313,81,ok
R01,ROS_TCP,11,1782055680712326057,1782055680712404307,1782055680713454291,1782055680713823672,82,ok
R01,ROS_TCP,12,1782055680735884746,1782055680735953883,1782055680737690141,1782055680738160469,75,ok
R01,ROS_TCP,13,1782055680765549988,1782055680765773740,1782055680769365770,1782055680769695909,72,ok
R01,ROS_TCP,14,1782055680847425004,1782055680847517983,1782055680849265952,1782055680849737063,76,ok
R01,ROS_TCP,15,1782055680892359921,1782055680892606727,1782055680893611881,1782055680894022542,73,parse_error
R01,ROS_TCP,16,1782055680957269336,1782055680957494532,1782055680959172884,1782055680959436489,81,ok
R01,ROS_TCP,17,1782055681031506097,1782055681031754222,1782055681033478231,1782055681033630682,83,ok
R01,ROS_TCP,18,1782055681041467526,1782055681041574243,1782055681042744282,1782055681042932774,76,ok
R01,ROS_TCP,19,1782055681116464245,1782055681116623721,1782055681117598461,1782055681117989250,83,ok
R01,ROS_TCP,20,1782055681206321162,1782055681206447804,1782055681207953609,1782055681208292758,78,parse_error
R01,ROS_TCP,21,1782055681208229155,1782055681208368457,1782055681209016297,1782055681209190338,78,parse_error
R01,ROS_TCP,22,1782055681282803757,1782055681283045851,1782055681284627756,1782055681284830714,82,ok
R01,ROS_TCP,23,1782055681320331764,1782055681320522989,1782055681322670295,1782055681322948063,78,ok
