run_id,method,seq,command_type,linear_x,linear_y,angular_z,action_id,t_unity_send_ns,payload_size_bytes
R01,ROS_TCP,1,velocity,0.1328,0.0,0.0,0,1782055680000005655,75
R01,ROS_TCP,2,velocity,0.1332,0.0,0.0,0,1782055680057076191,82
R01,ROS_TCP,3,velocity,0.1437,0.0,0.0,0,1782055680112416066,76
R01,ROS_TCP,4,velocity,0.1367,0.0,0.0,0,1782055680167608810,75
R01,ROS_TCP,5,velocity,0.1265,0.0,0.0,0,1782055680221194388,73
R01,ROS_TCP,6,velocity,0.1306,0.0,0.0,0,1782055680276843385,78
R01,ROS_TCP,7,velocity,0.139,0.0,0.0,0,1782055680330889103,76
R01,ROS_TCP,8,velocity,0.1325,0.0,0.0,0,1782055680388214407,77
R01,ROS_TCP,9,velocity,0.1367,0.0,0.0,0,1782055680443364669,82
R01,ROS_TCP,10,velocity,0.1281,0.0,0.0,0,1782055680499739577,81
R01,ROS_TCP,11,velocity,0.1336,0.0,0.0,0,1782055680555293434,82
R01,ROS_TCP,12,velocity,0.1247,0.0,0.0,0,1782055680610197152,75
R01,ROS_TCP,13,velocity,0.1294,0.0,0.0,0,1782055680665137427,72
R01,ROS_TCP,14,velocity,0.1324,0.0,0.0,0,1782055680719698726,76
R01,ROS_TCP,15,velocity,0.1298,0.0,0.0,0,1782055680776053660,73
R01,ROS_TCP,16,velocity,0.1374,0.0,0.0,0,1782055680832578257,81
R01,ROS_TCP,17,velocity,0.1328,0.0,0.0,0,1782055680888532451,83
R01,ROS_TCP,18,velocity,0.1324,0.0,0.0,0,1782055680941599847,76
R01,ROS_TCP,19,velocity,0.1337,0.0,0.0,0,1782055680997122003,83
R01,ROS_TCP,20,velocity,0.137,0.0,0.0,0,1782055681053074653,78
R01,ROS_TCP,21,velocity,0.1293,0.0,0.0,0,1782055681107879246,78
R01,ROS_TCP,22,velocity,0.1317,0.0,0.0,0,1782055681164551037,82
R01,ROS_TCP,23,velocity,0.1189,0.0,0.0,0,1782055681219847217,78
R01,ROS_TCP,24,velocity,0.1282,0.0,0.0,0,1782055681274255361,75
R01,ROS_TCP,25,velocity,0.1368,0.0,0.0,0,1782055681329285550,80
R01,ROS_TCP,26,velocity,0.1291,0.0,0.0,0,1782055681384113417,75
R01,ROS_TCP,27,velocity,0.1283,0.0,0.0,0,1782055681439189562,76
