run_id,method,seq,t_robot_recv_ns,ros_topic,linear_x,linear_y,angular_z,action_id,status
R01,UDP,2,1782055680162394450,/cmd_vel,0.1332,0.0,0.0,0,ok
R01,UDP,3,1782055680225812446,/cmd_vel,0.1437,0.0,0.0,0,ok
R01,UDP,4,1782055680283269671,/cmd_vel,0.1367,0.0,0.0,0,ok
R01,UDP,5,1782055680338331747,/cmd_vel,0.1265,0.0,0.0,0,ok
R01,UDP,6,1782055680380144783,/cmd_vel,0.1306,0.0,0.0,0,ok
R01,UDP,7,1782055680483272430,/cmd_vel,0.139,0.0,0.0,0,ok
R01,UDP,8,1782055680491094678,/cmd_vel,0.1325,0.0,0.0,0,ok
R01,UDP,9,1782055680547745330,/cmd_vel,0.1367,0.0,0.0,0,ok
R01,UDP,10,1782055680629834624,/cmd_vel,0.1281,0.0,0.0,0,ok
R01,UDP,11,1782055680716587088,/cmd_vel,0.1336,0.0,0.0,0,ok
R01,UDP,12,1782055680747040580,/cmd_vel,0.1247,0.0,0.0,0,ok
R01,UDP,13,1782055680773727742,/cmd_vel,0.1294,0.0,0.0,0,ok
R01,UDP,14,1782055680853571889,/cmd_vel,0.1324,0.0,0.0,0,ok
R01,UDP,16,1782055680962308911,/cmd_vel,0.1374,0.0,0.0,0,ok
R01,UDP,17,1782055681041638069,/cmd_vel,0.1328,0.0,0.0,0,ok
R01,UDP,18,1782055681053509503,/cmd_vel,0.1324,0.0,0.0,0,ok
R01,UDP,19,1782055681132571010,/cmd_vel,0.1337,0.0,0.0,0,ok
R01,UDP,22,1782055681301163309,/cmd_vel,0.1317,0.0,0.0,0,ok
R01,UDP,23,1782055681326823339,/cmd_vel,0.1189,0.0,0.0,0,ok
R01,UDP,27,1782055681569597229,/cmd_vel,0.1283,0.0,0.0,0,ok
R01,UDP,29,1782055681668500575,/cmd_vel,0.1318,0.0,0.0,0,ok
R01,UDP,30,1782055681712510073,/cmd_vel,0.1367,0.0,0.0,0,ok
R01,UDP,31,1782055681788971904,/cmd_vel,0.1429,0.0,0.0,0,ok
R01,UDP,32,1782055681879008595,/cmd_vel,0.1289,0.0,0.0,0,ok
R01,UDP,34,1782055681966051801,/cmd_vel,0.1356,0.0,0.0,0,ok
R01,UDP,36,1782055682069569455,/cmd_vel,0.1316,0.0,0.0,0,ok
R01,UDP,37,1782055682159734119,/cmd_vel,0.1333,0.0,0.0,0,ok
R01,UDP,38,1782055682154649828,/cmd_vel,0.1363,0.0,0.0,0,ok
R01,UDP,39,1782055682260947865,/cmd_vel,0.1435,0.0,0.0,0,ok
R01,UDP,40,1782055682265736446,/cmd_vel,0.1377,0.0,0.0,0,ok
R01,UDP,42,1782055682388193815,/cmd_vel,0.1326,0.0,0.0,0,ok
R01,UDP,43,1782055682477855655,/cmd_vel,0.1347,0.0,0.0,0,ok
R01,UDP,44,1782055682498204065,/cmd_vel,0.1332,0.0,0.0,0,ok
R01,UDP,45,1782055682578289932,/cmd_vel,0.0869,0.0,0.0864,0,ok
R01,UDP,46,1782055682621734024,/cmd_vel,0.0887,0.0,0.0892,0,ok
R01,UDP,47,1782055682667181650,/cmd_vel,0.0914,0.0,0.1018,0,ok
R01,UDP,48,1782055682710937219,/cmd_vel,0.0874,0.0,0.0859,0,ok
R01,UDP,49,1782055682790175339,/cmd_vel,0.0864,0.0,0.0878,0,ok
R01,UDP,50,1782055682821802776,/cmd_vel,0.0863,0.0,0.0906,0,ok
R01,UDP,51,1782055682931713975,/cmd_vel,0.0866,0.0,0.0854,0,ok
R01,UDP,52,1782055682971551207,/cmd_vel,0.088,0.0,0.0946,0,ok
R01,UDP,53,1782055683027457331,/cmd_vel,0.0877,0.0,0.0815,0,ok
R01,UDP,54,1782055683047875887,/cmd_vel,0.0886,0.0,0.0851,0,ok
R01,UDP,55,1782055683126986781,/cmd_vel,0.0846,0.0,0.0946,0,ok
R01,UDP,56,1782055683164321451,/cmd_vel,0.09,0.0,0.0966,0,ok
R01,UDP,57,1782055683216183775,/cmd_vel,0.0866,0.0,0.0949,0,ok
R01,UDP,58,1782055683258924906,/cmd_vel,0.0773,0.0,0.1041,0,ok
R01,UDP,60,1782055683403965953,/cmd_vel,0.0902,0.0,0.0899,0,ok
R01,UDP,61,1782055683437238077,/cmd_vel,0.0902,0.0,0.0972,0,ok
R01,UDP,62,1782055683515336322,/cmd_vel,0.0831,0.0,0.09,0,ok
R01,UDP,63,1782055683538996809,/cmd_vel,0.0859,0.0,0.0929,0,ok
R01,UDP,65,1782055683652631540,/cmd_vel,0.0901,0.0,0.0963,0,ok
R01,UDP,66,1782055683705788108,/cmd_vel,0.09,0.0,0.0909,0,ok
R01,UDP,68,1782055683830673709,/cmd_vel,0.0931,0.0,0.0905,0,ok
R01,UDP,69,1782055683903613348,/cmd_vel,0.0868,0.0,0.0934,0,ok
R01,UDP,70,1782055683929572422,/cmd_vel,0.092,0.0,0.092,0,ok
R01,UDP,71,1782055683995399509,/cmd_vel,0.0843,0.0,0.0875,0,ok
R01,UDP,72,1782055684052081803,/cmd_vel,0.0894,0.0,0.088,0,ok
R01,UDP,73,1782055684137135544,/cmd_vel,0.0874,0.0,0.093,0,ok
R01,UDP,74,1782055684149202024,/cmd_vel,0.0856,0.0,0.0865,0,ok
R01,UDP,75,1782055684207823898,/cmd_vel,0.0,0.0,0.0,0,ok
R01,UDP,76,1782055684269068370,/cmd_vel,0.0,0.0,0.0,0,ok
R01,UDP,77,1782055684319721259,/cmd_vel,0.0,0.0,0.0,0,ok
