run_id,method,seq,t_recv_ns,t_parse_start_ns,t_parse_end_ns,t_ros_publish_ns,payload_size_bytes,status
R01,ROS_TCP,1,1782055980004598599,1782055980004720955,1782055980005891507,1782055980006170993,81,ok
R01,ROS_TCP,2,1782055980063811011,1782055980063870590,1782055980065002365,1782055980065135215,72,ok
R01,ROS_TCP,3,1782055980120761529,1782055980120942079,1782055980122198725,1782055980122370677,83,ok
R01,ROS_TCP,4,1782055980167438940,1782055980167680897,1782055980169024483,1782055980169395540,83,ok
R01,ROS_TCP,5,1782055980223533207,1782055980223611854,1782055980224910798,1782055980225075375,82,ok
R01,ROS_TCP,6,1782055980278245260,1782055980278390719,1782055980279680607,1782055980279986241,79,ok
R01,ROS_TCP,7,1782055980338341411,1782055980338587484,1782055980339758039,1782055980340104589,75,ok
R01,ROS_TCP,8,1782055980391165751,1782055980391229668,1782055980392333927,1782055980392644664,79,ok
R01,ROS_TCP,9,1782055980446707956,1782055980446797104,1782055980447856690,1782055980448278208,73,ok
R01,ROS_TCP,10,1782055980500549374,1782055980500693658,1782055980501945350,1782055980502317151,73,ok
R01,ROS_TCP,11,1782055980556630958,1782055980556744848,1782055980557886505,1782055980558315016,73,ok
R01,ROS_TCP,12,1782055980612358229,1782055980612443858,1782055980613522207,1782055980613831515,81,ok
R01,ROS_TCP,13,1782055980666659421,1782055980666779458,1782055980667747692,1782055980667889758,78,ok
R01,ROS_TCP,14,1782055980723378379,1782055980723558498,1782055980724965911,1782055980725234450,73,dropped
R01,ROS_TCP,15,1782055980780701346,1782055980780856380,1782055980781758096,1782055980782122222,79,ok
R01,ROS_TCP,16,1782055980830807755,1782055980831019699,1782055980832177532,1782055980832354663,83,dropped
R01,ROS_TCP,17,1782055980886497625,1782055980886608303,1782055980887658390,1782055980887879987,77,ok
R01,ROS_TCP,18,1782055980942222942,1782055980942395789,1782055980943484252,1782055980943783622,82,duplicate
R01,ROS_TCP,19,1782055981005812088,1782055981005868318,1782055981007071065,1782055981007209727,74,ok
R01,ROS_TCP,20,1782055981052040686,1782055981052212126,1782055981053147667,1782055981053505753,81,ok
R01,ROS_TCP,21,1782055981106388813,1782055981106590622,1782055981107639960,1782055981107812838,78,ok
R01,ROS_TCP,22,1782055981160854999,1782055981160969203,1782055981162080639,1782055981162248406,78,ok
R01,ROS_TCP,23,1782055981225222704,1782055981225289485,1782055981226585395,1782055981226817421,83,ok
R01,ROS_TCP,24,1782055981278551539,1782055981278670246,1782055981280779333,1782055981280939094,73,dropped
R01,ROS_TCP,25,1782055981329713760,1782055981329913121,1782055981331106065,1782055981331284313,79,duplicate
R01,ROS_TCP,26,1782055981384255143,1782055981384426789,1782055981385709726,1782055981386038920,80,ok
R01,ROS_TCP,27,1782055981439670914,1782055981439874739,1782055981440953823,1782055981441303245,81,dropped
R01,ROS_TCP,28,1782055981502174981,1782055981502375811,1782055981503850325,1782055981504229064,77,ok
R01,ROS_TCP,29,1782055981555894767,1782055981555964307,1782055981557078433,1782055981557202874,80,ok
R01,ROS_TCP,30,1782055981608538873,1782055981608588963,1782055981609617297,1782055981609930263,76,ok
R01,ROS_TCP,31,1782055981662884861,1782055981663099255,1782055981664481985,1782055981664736129,83,ok
R01,ROS_TCP,32,1782055981725704545,1782055981725757872,1782055981727255964,1782055981727725615,74,dropped
R01,ROS_TCP,33,1782055981775292438,1782055981775450022,1782055981776616403,1782055981776899388,72,ok
R01,ROS_TCP,34,1782055981840945728,1782055981841134695,1782055981842337373,1782055981842783747,77,ok
R01,ROS_TCP,35,1782055981894524755,1782055981894743773,1782055981895816415,1782055981896190448,72,ok
R01,ROS_TCP,36,1782055981940862118,1782055981941062748,1782055981942160864,1782055981942525194,81,ok
R01,ROS_TCP,37,1782055981995096105,1782055981995237707,1782055981996492163,1782055981996717828,77,ok
R01,ROS_TCP,38,1782055982047710248,1782055982047839218,1782055982048877522,1782055982049346467,74,ok
R01,ROS_TCP,39,1782055982104607750,1782055982104857681,1782055982105910506,1782055982106371262,72,ok
R01,ROS_TCP,40,1782055982159874939,1782055982160017355,1782055982161354590,1782055982161492805,79,ok
R01,ROS_TCP,41,1782055982216034706,1782055982216252602,1782055982217218092,1782055982217623709,66,ok
R01,ROS_TCP,42,1782055982270912270,1782055982271151210,1782055982272206508,1782055982272474948,59,ok
R01,ROS_TCP,43,1782055982337195007,1782055982337273312,1782055982338216175,1782055982338592733,65,ok
R01,ROS_TCP,44,1782055982381476044,1782055982381597697,1782055982382372296,1782055982382746789,66,ok
R01,ROS_TCP,45,1782055982444129077,1782055982444372517,1782055982445366407,1782055982445644945,65,ok
R01,ROS_TCP,46,1782055982495571951,1782055982495732888,1782055982496772381,1782055982497161925,59,ok
R01,ROS_TCP,47,1782055982557272381,1782055982557493640,1782055982558620680,1782055982559029454,65,ok
R01,ROS_TCP,48,1782055982613539396,1782055982613620911,1782055982614738723,1782055982615135937,67,ok
R01,ROS_TCP,49,1782055982669693122,1782055982669779845,1782055982670938466,1782055982671240306,62,dropped
R01,ROS_TCP,50,1782055982718161328,1782055982718366180,1782055982719915685,1782055982720202863,68,ok
R01,ROS_TCP,51,1782055982771253284,1782055982771486298,1782055982772601704,1782055982773009920,63,ok
R01,ROS_TCP,52,1782055982831063857,1782055982831267107,1782055982832557352,1782055982832944881,64,ok
R01,ROS_TCP,53,1782055982882540276,1782055982882736663,1782055982884912332,1782055982885083571,67,ok
R01,ROS_TCP,54,1782055982944143095,1782055982944338367,1782055982945565045,1782055982945727810,68,ok
R01,ROS_TCP,55,1782055982999149523,1782055982999331715,1782055983000598242,1782055983000964627,60,ok
R01,ROS_TCP,56,1782055983050724061,1782055983050898044,1782055983052082938,1782055983052319569,67,ok
R01,ROS_TCP,57,1782055983107655263,1782055983107810762,1782055983108945649,1782055983109196827,66,ok
R01,ROS_TCP,58,1782055983162734995,1782055983162887718,1782055983164290844,1782055983164574810,60,ok
R01,ROS_TCP,59,1782055983226824790,1782055983226896452,1782055983228439656,1782055983228778458,63,ok
R01,ROS_TCP,60,1782055983272686658,1782055983272865450,1782055983273855434,1782055983274309875,58,ok
R01,ROS_TCP,61,1782055983328444191,1782055983328597542,1782055983329602092,1782055983329859309,59,ok
R01,ROS_TCP,62,1782055983384363436,1782055983384522192,1782055983385683316,1782055983385832010,62,dropped
R01,ROS_TCP,63,1782055983440018100,1782055983440135543,1782055983442239005,1782055983442622033,64,ok
R01,ROS_TCP,64,1782055983495890990,1782055983495963125,1782055983497282675,1782055983497568076,63,dropped
R01,ROS_TCP,65,1782055983550098704,1782055983550266919,1782055983551575710,1782055983551738281,59,ok
R01,ROS_TCP,66,1782055983606181284,1782055983606418507,1782055983607575529,1782055983608043419,68,parse_error
R01,ROS_TCP,67,1782055983662745781,1782055983662938917,1782055983663690822,1782055983664154833,67,ok
R01,ROS_TCP,68,1782055983724902783,1782055983725060887,1782055983726169455,1782055983726343554,58,ok
R01,ROS_TCP,69,1782055983772647296,1782055983772716445,1782055983773804388,1782055983774030318,64,parse_error
R01,ROS_TCP,70,1782055983828204406,1782055983828273158,1782055983829587389,1782055983829952859,61,ok
R01,ROS_TCP,71,1782055983891497001,1782055983891718039,1782055983893000376,1782055983893311307,62,ok
R01,ROS_TCP,72,1782055983938509636,1782055983938653549,1782055983940161027,1782055983940451256,69,ok
R01,ROS_TCP,73,1782055983998830120,1782055983999031319,1782055983999974635,1782055984000233285,62,dropped
R01,ROS_TCP,74,1782055984050965340,1782055984051064228,1782055984052225812,1782055984052429523,63,ok
