run_id,method,seq,t_robot_recv_ns,ros_topic,linear_x,linear_y,angular_z,action_id,status
R01,ROS_TCP,1,1782055980018589274,/cmd_vel,0.1546,0.0,0.0,0,ok
R01,ROS_TCP,2,1782055980072388808,/cmd_vel,0.1587,0.0,0.0,0,ok
R01,ROS_TCP,3,1782055980126650964,/cmd_vel,0.1531,0.0,0.0,0,ok
R01,ROS_TCP,4,1782055980175782486,/cmd_vel,0.1548,0.0,0.0,0,ok
R01,ROS_TCP,5,1782055980230321575,/cmd_vel,0.1533,0.0,0.0,0,ok
R01,ROS_TCP,6,1782055980283479519,/cmd_vel,0.151,0.0,0.0,0,ok
R01,ROS_TCP,7,1782055980346238090,/cmd_vel,0.1541,0.0,0.0,0,ok
R01,ROS_TCP,8,1782055980398149123,/cmd_vel,0.152,0.0,0.0,0,ok
R01,ROS_TCP,9,1782055980454245504,/cmd_vel,0.1581,0.0,0.0,0,ok
R01,ROS_TCP,10,1782055980507688154,/cmd_vel,0.1501,0.0,0.0,0,ok
R01,ROS_TCP,11,1782055980563447114,/cmd_vel,0.1461,0.0,0.0,0,ok
R01,ROS_TCP,12,1782055980624157862,/cmd_vel,0.1541,0.0,0.0,0,ok
R01,ROS_TCP,13,1782055980674301154,/cmd_vel,0.1591,0.0,0.0,0,ok
R01,ROS_TCP,15,1782055980789911905,/cmd_vel,0.1527,0.0,0.0,0,ok
R01,ROS_TCP,17,1782055980909035117,/cmd_vel,0.1526,0.0,0.0,0,ok
R01,ROS_TCP,19,1782055981013201493,/cmd_vel,0.1603,0.0,0.0,0,ok
R01,ROS_TCP,20,1782055981058895978,/cmd_vel,0.1547,0.0,0.0,0,ok
R01,ROS_TCP,21,1782055981114219142,/cmd_vel,0.1534,0.0,0.0,0,ok
R01,ROS_TCP,22,1782055981166592121,/cmd_vel,0.1535,0.0,0.0,0,ok
R01,ROS_TCP,23,1782055981231963217,/cmd_vel,0.1543,0.0,0.0,0,ok
R01,ROS_TCP,26,1782055981392478584,/cmd_vel,0.1501,0.0,0.0,0,ok
R01,ROS_TCP,28,1782055981508673690,/cmd_vel,0.1547,0.0,0.0,0,ok
R01,ROS_TCP,29,1782055981563388831,/cmd_vel,0.1486,0.0,0.0,0,ok
R01,ROS_TCP,30,1782055981633636430,/cmd_vel,0.1561,0.0,0.0,0,ok
R01,ROS_TCP,31,1782055981669503119,/cmd_vel,0.1539,0.0,0.0,0,ok
R01,ROS_TCP,33,1782055981782347786,/cmd_vel,0.1521,0.0,0.0,0,ok
R01,ROS_TCP,34,1782055981848171029,/cmd_vel,0.1471,0.0,0.0,0,ok
R01,ROS_TCP,35,1782055981920104921,/cmd_vel,0.1529,0.0,0.0,0,ok
R01,ROS_TCP,36,1782055981948166624,/cmd_vel,0.151,0.0,0.0,0,ok
R01,ROS_TCP,37,1782055982000807010,/cmd_vel,0.1545,0.0,0.0,0,ok
R01,ROS_TCP,38,1782055982054773996,/cmd_vel,0.1568,0.0,0.0,0,ok
R01,ROS_TCP,39,1782055982115770605,/cmd_vel,0.1538,0.0,0.0,0,ok
R01,ROS_TCP,40,1782055982167896297,/cmd_vel,0.1477,0.0,0.0,0,ok
R01,ROS_TCP,41,1782055982223190232,/cmd_vel,0.0,0.0,0.0,0,ok
R01,ROS_TCP,42,1782055982293836445,/cmd_vel,0.0,0.0,0.0,0,ok
R01,ROS_TCP,43,1782055982345182132,/cmd_vel,0.0,0.0,0.0,0,ok
R01,ROS_TCP,44,1782055982388310492,/cmd_vel,0.0,0.0,0.0,0,ok
R01,ROS_TCP,45,1782055982450915600,/cmd_vel,0.0,0.0,0.0,0,ok
R01,ROS_TCP,46,1782055982503841224,/cmd_vel,0.0,0.0,0.0,0,ok
R01,ROS_TCP,47,1782055982576581472,/cmd_vel,0.0,0.0,0.0,0,ok
R01,ROS_TCP,48,1782055982620440122,/cmd_vel,0.0,0.0,0.0,0,ok
R01,ROS_TCP,50,1782055982723499370,/cmd_vel,0.0,0.0,0.0,0,ok
R01,ROS_TCP,51,1782055982779178559,/cmd_vel,0.0,0.0,0.0,0,ok
R01,ROS_TCP,52,1782055982837758260,/cmd_vel,0.0,0.0,0.0,0,ok
R01,ROS_TCP,53,1782055982890404446,/cmd_vel,0.0,0.0,0.0,0,ok
R01,ROS_TCP,54,1782055982951127029,/cmd_vel,0.0,0.0,0.0,0,ok
R01,ROS_TCP,55,1782055983006942716,/cmd_vel,0.0,0.0,0.0,0,ok
R01,ROS_TCP,56,1782055983058502656,/cmd_vel,0.0,0.0,0.0,0,ok
R01,ROS_TCP,57,1782055983114594283,/cmd_vel,0.0,0.0,0.0,0,ok
R01,ROS_TCP,58,1782055983169521229,/cmd_vel,0.0,0.0,0.0,0,ok
R01,ROS_TCP,59,1782055983250458085,/cmd_vel,0.0,0.0,0.0,0,ok
R01,ROS_TCP,60,1782055983296433218,/cmd_vel,0.0,0.0,0.0,0,ok
R01,ROS_TCP,61,1782055983333490139,/cmd_vel,0.0,0.0,0.0,0,ok
R01,ROS_TCP,63,1782055983445028813,/cmd_vel,0.0,0.0,0.0,0,ok
R01,ROS_TCP,65,1782055983557855361,/cmd_vel,0.0,0.0,0.0,0,ok
R01,ROS_TCP,67,1782055983669217487,/cmd_vel,0.0,0.0,0.0,0,ok
R01,ROS_TCP,68,1782055983730053665,/cmd_vel,0.0,0.0,0.0,0,ok
R01,ROS_TCP,70,1782055983835909681,/cmd_vel,0.0,0.0,0.0,0,ok
R01,ROS_TCP,71,1782055983898720319,/cmd_vel,0.0,0.0,0.0,0,ok
R01,ROS_TCP,72,1782055983944129373,/cmd_vel,0.0,0.0,0.0,0,ok
R01,ROS_TCP,74,1782055984058489229,/cmd_vel,0.0,0.0,0.0,0,ok
R01,ROS_TCP,75,1782055984113755776,/cmd_vel,0.0,0.0,0.0,0,ok
R01,ROS_TCP,76,1782055984166550099,/cmd_vel,0.0,0.0,0.0,0,ok
R01,ROS_TCP,78,1782055984280904397,/cmd_vel,0.0,0.0,0.0,0,ok
R01,ROS_TCP,79,1782055984338905561,/cmd_vel,0.0,0.0,0.0,0,ok
R01,ROS_TCP,80,1782055984390882104,/cmd_vel,0.0,0.0,0.0,0,ok
R01,ROS_TCP,81,1782055984454608138,/cmd_vel,0.0,0.0,0.0,0,ok
R01,ROS_TCP,83,1782055984565243398,/cmd_vel,0.0,0.0,0.0,0,ok
R01,ROS_TCP,84,1782055984610787699,/cmd_vel,0.0,0.0,0.0,0,ok
R01,ROS_TCP,85,1782055984694128128,/cmd_vel,0.0,0.0,0.0,0,ok
R01,ROS_TCP,87,1782055984796959413,/cmd_vel,0.0,0.0,-0.0727,2,ok
R01,ROS_TCP,88,1782055984834038839,/cmd_vel,0.0,0.0,-0.0793,2,ok
R01,ROS_TCP,90,1782055984953144233,/cmd_vel,0.0,0.0,-0.0768,3,ok
R01,ROS_TCP,91,1782055985009088359,/cmd_vel,0.0,0.0,-0.0626,2,ok
R01,ROS_TCP,92,1782055985083971554,/cmd_vel,0.0,0.0,-0.0785,4,ok
R01,ROS_TCP,94,1782055985167133361,/cmd_vel,0.0,0.0,-0.0882,3,ok
R01,ROS_TCP,95,1782055985240112421,/cmd_vel,0.0,0.0,-0.0849,5,ok
R01,ROS_TCP,96,1782055985276550949,/cmd_vel,0.0,0.0,-0.0703,5,ok
R01,ROS_TCP,97,1782055985334158148,/cmd_vel,0.0,0.0,-0.0675,1,ok
R01,ROS_TCP,98,1782055985388891772,/cmd_vel,0.0,0.0,-0.064,1,ok
R01,ROS_TCP,99,1782055985444010079,/cmd_vel,0.0,0.0,-0.0784,2,ok
R01,ROS_TCP,100,1782055985500704026,/cmd_vel,0.0,0.0,-0.0732,2,ok
R01,ROS_TCP,101,1782055985555545353,/cmd_vel,0.0,0.0,-0.0824,1,ok
R01,ROS_TCP,102,1782055985620258063,/cmd_vel,0.0,0.0,-0.0783,1,ok
R01,ROS_TCP,103,1782055985668392464,/cmd_vel,0.0,0.0,-0.0613,1,ok
R01,ROS_TCP,106,1782055985847755936,/cmd_vel,0.0,0.0,-0.0724,4,ok
R01,ROS_TCP,107,1782055985887914341,/cmd_vel,0.0,0.0,-0.0744,5,ok
R01,ROS_TCP,108,1782055985965117415,/cmd_vel,0.0,0.0,-0.0741,5,ok
R01,ROS_TCP,109,1782055986001355719,/cmd_vel,0.0,0.0,-0.0745,1,ok
R01,ROS_TCP,110,1782055986057839175,/cmd_vel,0.0,0.0,-0.0747,3,ok
R01,ROS_TCP,111,1782055986111991759,/cmd_vel,0.0,0.0,-0.0744,2,ok
R01,ROS_TCP,112,1782055986172826939,/cmd_vel,0.0,0.0,-0.0655,4,ok
R01,ROS_TCP,113,1782055986222353831,/cmd_vel,0.0,0.0,-0.0813,1,ok
R01,ROS_TCP,114,1782055986277816881,/cmd_vel,0.0,0.0,-0.0792,2,ok
R01,ROS_TCP,115,1782055986362938416,/cmd_vel,0.0,0.0,-0.0733,1,ok
R01,ROS_TCP,116,1782055986389546781,/cmd_vel,0.0,0.0,-0.0657,3,ok
R01,ROS_TCP,117,1782055986444886978,/cmd_vel,0.0,0.0,-0.0671,2,ok
R01,ROS_TCP,118,1782055986498116241,/cmd_vel,0.0,0.0,-0.0777,1,ok
R01,ROS_TCP,119,1782055986572380257,/cmd_vel,0.0,0.0,-0.0852,3,ok
R01,ROS_TCP,120,1782055986617405500,/cmd_vel,0.0,0.0,-0.0745,2,ok
R01,ROS_TCP,121,1782055986685353227,/cmd_vel,0.0,0.0,-0.0716,1,ok
R01,ROS_TCP,122,1782055986729661771,/cmd_vel,0.0,0.0,-0.0811,4,ok
R01,ROS_TCP,123,1782055986776234433,/cmd_vel,0.0,0.0,-0.0824,2,ok
