run_id,method,seq,t_recv_ns,t_parse_start_ns,t_parse_end_ns,t_ros_publish_ns,payload_size_bytes,status
R01,ROS_TCP,1,1782054480004085908,1782054480004286167,1782054480004993630,1782054480005466018,62,ok
R01,ROS_TCP,2,1782054480085328627,1782054480085421606,1782054480086136002,1782054480086297502,65,ok
R01,ROS_TCP,3,1782054480165582907,1782054480165680050,1782054480166244796,1782054480166715940,60,ok
R01,ROS_TCP,4,1782054480244574863,1782054480244746845,1782054480245381072,1782054480245517062,59,ok
R01,ROS_TCP,5,1782054480325854469,1782054480325979658,1782054480326616068,1782054480326783291,65,ok
R01,ROS_TCP,6,1782054480405662638,1782054480405865553,1782054480406484371,1782054480406956132,60,ok
R01,ROS_TCP,7,1782054480485866637,1782054480485942336,1782054480486695361,1782054480486875826,58,ok
R01,ROS_TCP,8,1782054480566900814,1782054480567006179,1782054480567710048,1782054480567913312,63,ok
R01,ROS_TCP,9,1782054480642351837,1782054480642454702,1782054480643257001,1782054480643536002,62,ok
R01,ROS_TCP,10,1782054480726474368,1782054480726573417,1782054480727419529,1782054480727613837,62,ok
R01,ROS_TCP,11,1782054480805625904,1782054480805771418,1782054480806526012,1782054480806889932,63,ok
R01,ROS_TCP,12,1782054480886060188,1782054480886112314,1782054480886768817,1782054480886981802,60,ok
R01,ROS_TCP,13,1782054480965644202,1782054480965884493,1782054480966336503,1782054480966519094,58,ok
R01,ROS_TCP,14,1782054481044418452,1782054481044516243,1782054481045169932,1782054481045606694,65,ok
R01,ROS_TCP,15,1782054481126872745,1782054481127120346,1782054481127753836,1782054481127983814,59,ok
R01,ROS_TCP,16,1782054481202316867,1782054481202518255,1782054481203292852,1782054481203619187,61,ok
R01,ROS_TCP,17,1782054481283586839,1782054481283823439,1782054481284450805,1782054481284622547,58,ok
R01,ROS_TCP,18,1782054481361502759,1782054481361696510,1782054481362251297,1782054481362610555,59,ok
R01,ROS_TCP,19,1782054481440704976,1782054481440809818,1782054481441426420,1782054481441611595,64,ok
R01,ROS_TCP,20,1782054481521305358,1782054481521434947,1782054481522227859,1782054481522408654,59,ok
R01,ROS_TCP,21,1782054481605307688,1782054481605493625,1782054481606119591,1782054481606291129,59,ok
R01,ROS_TCP,22,1782054481684021206,1782054481684104929,1782054481684555843,1782054481684976932,62,ok
R01,ROS_TCP,23,1782054481760839384,1782054481761061291,1782054481761543522,1782054481761857585,58,ok
R01,ROS_TCP,24,1782054481846448968,1782054481846548343,1782054481847386824,1782054481847615915,64,ok
R01,ROS_TCP,25,1782054481922012369,1782054481922161545,1782054481922869506,1782054481923256092,63,ok
R01,ROS_TCP,26,1782054482002419324,1782054482002597114,1782054482003377338,1782054482003766963,62,ok
R01,ROS_TCP,27,1782054482088330199,1782054482088559917,1782054482089378010,1782054482089830062,62,ok
R01,ROS_TCP,28,1782054482164389365,1782054482164612591,1782054482165442016,1782054482165769164,59,ok
R01,ROS_TCP,29,1782054482245997678,1782054482246214004,1782054482247098215,1782054482247318873,83,ok
R01,ROS_TCP,30,1782054482325827616,1782054482325990595,1782054482326711939,1782054482327127939,75,ok
R01,ROS_TCP,31,1782054482404143088,1782054482404382166,1782054482404820449,1782054482405130532,77,ok
R01,ROS_TCP,32,1782054482488938829,1782054482489024748,1782054482489684513,1782054482489911312,72,ok
R01,ROS_TCP,33,1782054482567002845,1782054482567245623,1782054482567765988,1782054482567967288,76,ok
R01,ROS_TCP,34,1782054482645219958,1782054482645412837,1782054482646103852,1782054482646430581,73,ok
R01,ROS_TCP,35,1782054482723640409,1782054482723726396,1782054482724237019,1782054482724358121,80,ok
R01,ROS_TCP,36,1782054482805804007,1782054482806034315,1782054482806512093,1782054482806795551,79,ok
R01,ROS_TCP,37,1782054482885647714,1782054482885866643,1782054482886401977,1782054482886774752,74,ok
R01,ROS_TCP,38,1782054482965663504,1782054482965764732,1782054482966455397,1782054482966788632,73,ok
R01,ROS_TCP,39,1782054483042308239,1782054483042440425,1782054483043060519,1782054483043488159,82,ok
R01,ROS_TCP,40,1782054483128912528,1782054483129091973,1782054483129569716,1782054483130007514,83,ok
R01,ROS_TCP,41,1782054483204455404,1782054483204682090,1782054483205309543,1782054483205495208,73,ok
R01,ROS_TCP,42,1782054483284653434,1782054483284810098,1782054483285432661,1782054483285694962,77,ok
R01,ROS_TCP,43,1782054483362826458,1782054483362893140,1782054483363417936,1782054483363619409,81,ok
R01,ROS_TCP,44,1782054483442033982,1782054483442177858,1782054483442955696,1782054483443247358,83,ok
R01,ROS_TCP,45,1782054483523616649,1782054483523729761,1782054483524389169,1782054483524552030,82,ok
R01,ROS_TCP,46,1782054483602636035,1782054483602699335,1782054483603504018,1782054483603722121,75,ok
R01,ROS_TCP,47,1782054483683963195,1782054483684076942,1782054483684811590,1782054483685103428,79,ok
R01,ROS_TCP,48,1782054483762282487,1782054483762522974,1782054483763258207,1782054483763381434,77,ok
R01,ROS_TCP,49,1782054483844558718,1782054483844754054,1782054483845261717,1782054483845652463,82,duplicate
R01,ROS_TCP,50,1782054483922382616,1782054483922526274,1782054483923397412,1782054483923521888,74,ok
R01,ROS_TCP,51,1782054484002228661,1782054484002461341,1782054484003132352,1782054484003610131,75,ok
R01,ROS_TCP,52,1782054484082371314,1782054484082433345,1782054484082910576,1782054484083259063,73,ok
R01,ROS_TCP,53,1782054484162374561,1782054484162457671,1782054484163249142,1782054484163392047,75,ok
R01,ROS_TCP,54,1782054484245128622,1782054484245199708,1782054484245772525,1782054484246207781,74,ok
R01,ROS_TCP,55,1782054484324604427,1782054484324694733,1782054484325468895,1782054484325835971,79,ok
R01,ROS_TCP,56,1782054484403779311,1782054484404008541,1782054484404535653,1782054484404989666,81,ok
R01,ROS_TCP,57,1782054484484517829,1782054484484748868,1782054484485408588,1782054484485652518,76,ok
R01,ROS_TCP,58,1782054484564445851,1782054484564513667,1782054484565193685,1782054484565497613,77,ok
R01,ROS_TCP,59,1782054484644363785,1782054484644603173,1782054484645312811,1782054484645676972,83,ok
R01,ROS_TCP,60,1782054484721017929,1782054484721098426,1782054484721545489,1782054484721672730,73,ok
R01,ROS_TCP,61,1782054484804477691,1782054484804642317,1782054484805162955,1782054484805319562,79,ok
R01,ROS_TCP,62,1782054484886763619,1782054484886834500,1782054484887340160,1782054484887499597,75,ok
R01,ROS_TCP,63,1782054484961765899,1782054484961821382,1782054484962478071,1782054484962785246,81,ok
R01,ROS_TCP,64,1782054485043097759,1782054485043303125,1782054485044060780,1782054485044530052,82,ok
R01,ROS_TCP,65,1782054485120480330,1782054485120637677,1782054485121474203,1782054485121891849,79,ok
R01,ROS_TCP,66,1782054485202027178,1782054485202155973,1782054485202812945,1782054485203066619,83,ok
R01,ROS_TCP,67,1782054485278170251,1782054485278378850,1782054485279151193,1782054485279382288,76,ok
R01,ROS_TCP,68,1782054485362854045,1782054485362985093,1782054485363629653,1782054485363895906,72,ok
R01,ROS_TCP,69,1782054485439489015,1782054485439547296,1782054485440283357,1782054485440754920,75,ok
R01,ROS_TCP,70,1782054485523067582,1782054485523176587,1782054485523671595,1782054485523931515,78,ok
R01,ROS_TCP,71,1782054485599244773,1782054485599447299,1782054485600029770,1782054485600412706,73,ok
R01,ROS_TCP,72,1782054485680712101,1782054485680819702,1782054485681474530,1782054485681926524,73,ok
R01,ROS_TCP,73,1782054485764854232,1782054485765014928,1782054485765771188,1782054485765957839,59,ok
R01,ROS_TCP,74,1782054485839522561,1782054485839586224,1782054485840532222,1782054485840868372,63,ok
R01,ROS_TCP,75,1782054485922316137,1782054485922386848,1782054485923007434,1782054485923266182,64,ok
R01,ROS_TCP,76,1782054486003651577,1782054486003712625,1782054486004356096,1782054486004784286,65,ok
R01,ROS_TCP,77,1782054486077677757,1782054486077848419,1782054486078708272,1782054486079025112,60,dropped
R01,ROS_TCP,78,1782054486160096495,1782054486160328269,1782054486161057155,1782054486161457513,59,ok
R01,ROS_TCP,79,1782054486247201416,1782054486247354091,1782054486247829607,1782054486247997785,58,ok
R01,ROS_TCP,80,1782054486319393239,1782054486319622215,1782054486320346672,1782054486320719091,64,ok
R01,ROS_TCP,81,1782054486400251700,1782054486400397110,1782054486401169487,1782054486401400777,60,ok
R01,ROS_TCP,82,1782054486474290188,1782054486474354500,1782054486475023138,1782054486475361774,58,ok
R01,ROS_TCP,83,1782054486560024706,1782054486560091919,1782054486560733229,1782054486560907998,63,ok
R01,ROS_TCP,84,1782054486636516215,1782054486636663097,1782054486637460837,1782054486637924644,58,ok
R01,ROS_TCP,85,1782054486720615990,1782054486720822178,1782054486721603265,1782054486721859111,63,ok
R01,ROS_TCP,86,1782054486795901418,1782054486795972628,1782054486796811426,1782054486797192542,62,ok
R01,ROS_TCP,87,1782054486877138872,1782054486877238654,1782054486877754784,1782054486878159777,63,ok
R01,ROS_TCP,88,1782054486960131486,1782054486960310673,1782054486960853142,1782054486961232821,62,ok
R01,ROS_TCP,89,1782054487036928632,1782054487036989178,1782054487037744616,1782054487037984280,62,ok
R01,ROS_TCP,90,1782054487120559152,1782054487120624477,1782054487121362523,1782054487121686861,62,ok
R01,ROS_TCP,91,1782054487202204387,1782054487202267198,1782054487202842328,1782054487203290223,65,ok
R01,ROS_TCP,92,1782054487284426188,1782054487284601679,1782054487285389681,1782054487285585460,63,ok
R01,ROS_TCP,93,1782054487358610808,1782054487358838720,1782054487359617808,1782054487360033872,59,ok
R01,ROS_TCP,94,1782054487436970440,1782054487437155159,1782054487437545112,1782054487437996285,59,ok
R01,ROS_TCP,95,1782054487519427211,1782054487519514889,1782054487520329290,1782054487520456938,64,ok
R01,ROS_TCP,96,1782054487598354781,1782054487598509411,1782054487599087292,1782054487599295118,58,ok
R01,ROS_TCP,97,1782054487676759304,1782054487676991658,1782054487677905412,1782054487678344341,60,ok
R01,ROS_TCP,98,1782054487758208216,1782054487758432347,1782054487759002891,1782054487759154896,58,ok
R01,ROS_TCP,99,1782054487834389051,1782054487834481619,1782054487835054259,1782054487835415758,59,ok
R01,ROS_TCP,100,1782054487914279437,1782054487914477487,1782054487914976306,1782054487915282592,64,ok
R01,ROS_TCP,101,1782054487997184038,1782054487997400258,1782054487998086002,1782054487998526002,65,ok
R01,ROS_TCP,102,1782054488077262381,1782054488077464393,1782054488078069107,1782054488078263403,58,ok
R01,ROS_TCP,103,1782054488155624401,1782054488155706603,1782054488156515956,1782054488156683861,58,ok
R01,ROS_TCP,104,1782054488239345146,1782054488239411912,1782054488240076139,1782054488240417835,58,ok
R01,ROS_TCP,105,1782054488318345771,1782054488318524184,1782054488319136035,1782054488319558772,64,ok
R01,ROS_TCP,106,1782054488396745352,1782054488396817015,1782054488397689021,1782054488398158775,62,ok
R01,ROS_TCP,107,1782054488475786442,1782054488475923425,1782054488476532815,1782054488477001098,62,ok
R01,ROS_TCP,108,1782054488556659985,1782054488556875813,1782054488557554213,1782054488558019186,64,ok
R01,ROS_TCP,109,1782054488635476875,1782054488635537372,1782054488636108600,1782054488636413361,59,ok
R01,ROS_TCP,110,1782054488719978030,1782054488720121860,1782054488720768249,1782054488720895451,65,ok
R01,ROS_TCP,111,1782054488798156044,1782054488798338668,1782054488798712680,1782054488798999911,60,ok
R01,ROS_TCP,112,1782054488875974024,1782054488876172591,1782054488876836904,1782054488877039006,61,ok
R01,ROS_TCP,113,1782054488956821753,1782054488957046983,1782054488957822876,1782054488958006689,60,ok
R01,ROS_TCP,114,1782054489033301246,1782054489033391945,1782054489033926615,1782054489034299291,63,ok
R01,ROS_TCP,115,1782054489111866263,1782054489111998450,1782054489112505240,1782054489112716330,65,ok
R01,ROS_TCP,116,1782054489190495519,1782054489190689792,1782054489191306445,1782054489191449623,59,ok
R01,ROS_TCP,117,1782054489281141385,1782054489281361705,1782054489282011997,1782054489282290776,64,ok
R01,ROS_TCP,118,1782054489354688852,1782054489354828084,1782054489355331781,1782054489355579005,61,ok
R01,ROS_TCP,119,1782054489430456562,1782054489430526528,1782054489431174391,1782054489431462560,79,ok
R01,ROS_TCP,120,1782054489517261347,1782054489517508008,1782054489518091422,1782054489518374264,72,ok
R01,ROS_TCP,121,1782054489596351046,1782054489596562493,1782054489597209058,1782054489597433758,77,ok
R01,ROS_TCP,122,1782054489674997984,1782054489675071209,1782054489675820113,1782054489676222590,72,ok
R01,ROS_TCP,123,1782054489754872659,1782054489755090051,1782054489755875295,1782054489756076301,73,ok
R01,ROS_TCP,124,1782054489833639193,1782054489833759296,1782054489834398278,1782054489834697922,72,ok
R01,ROS_TCP,125,1782054489913318940,1782054489913508211,1782054489914184091,1782054489914376030,74,ok
R01,ROS_TCP,126,1782054489995002818,1782054489995226458,1782054489996037048,1782054489996180849,73,ok
R01,ROS_TCP,127,1782054490076963313,1782054490077129057,1782054490077838857,1782054490078182056,76,ok
R01,ROS_TCP,128,1782054490152355759,1782054490152491914,1782054490153131367,1782054490153344670,74,ok
R01,ROS_TCP,129,1782054490233391268,1782054490233560530,1782054490234042597,1782054490234401376,82,ok
R01,ROS_TCP,130,1782054490315266779,1782054490315421261,1782054490315955988,1782054490316142475,79,ok
R01,ROS_TCP,131,1782054490398142645,1782054490398325216,1782054490399064192,1782054490399324608,79,ok
R01,ROS_TCP,132,1782054490475658100,1782054490475905092,1782054490476595886,1782054490476731212,76,ok
R01,ROS_TCP,133,1782054490560381504,1782054490560451280,1782054490560982708,1782054490561162033,80,ok
R01,ROS_TCP,134,1782054490643399341,1782054490643635069,1782054490644304623,1782054490644562441,82,ok
R01,ROS_TCP,135,1782054490716215111,1782054490716415486,1782054490716968188,1782054490717235820,75,ok
R01,ROS_TCP,136,1782054490801885674,1782054490801992882,1782054490802627902,1782054490802977527,73,ok
R01,ROS_TCP,137,1782054490878221482,1782054490878292123,1782054490879020056,1782054490879278946,74,ok
R01,ROS_TCP,138,1782054490956768561,1782054490956913095,1782054490957634592,1782054490957871116,82,ok
R01,ROS_TCP,139,1782054491040434738,1782054491040668970,1782054491041274683,1782054491041624240,72,ok
R01,ROS_TCP,140,1782054491117205048,1782054491117421861,1782054491118035274,1782054491118220094,72,ok
R01,ROS_TCP,141,1782054491199269034,1782054491199404307,1782054491200052966,1782054491200238610,79,ok
R01,ROS_TCP,142,1782054491279983123,1782054491280058515,1782054491280733749,1782054491281156540,83,ok
R01,ROS_TCP,143,1782054491360584827,1782054491360825137,1782054491361515302,1782054491361829490,74,ok
R01,ROS_TCP,144,1782054491438897950,1782054491439134000,1782054491439593240,1782054491440016972,78,ok
R01,ROS_TCP,145,1782054491522368675,1782054491522511741,1782054491523117115,1782054491523368265,75,ok
R01,ROS_TCP,146,1782054491599187338,1782054491599311767,1782054491599674068,1782054491599833942,76,ok
R01,ROS_TCP,147,1782054491677480250,1782054491677615954,1782054491678387251,1782054491678686934,73,duplicate
R01,ROS_TCP,148,1782054491759742612,1782054491759795351,1782054491760490892,1782054491760817329,74,ok
R01,ROS_TCP,149,1782054491840674240,1782054491840858747,1782054491841438792,1782054491841779215,81,ok
R01,ROS_TCP,150,1782054491918461806,1782054491918527125,1782054491919435326,1782054491919838048,76,ok
R01,ROS_TCP,151,1782054491998536693,1782054491998778116,1782054491999342623,1782054491999513886,80,ok
R01,ROS_TCP,152,1782054492081069622,1782054492081265128,1782054492081583792,1782054492081873359,74,ok
R01,ROS_TCP,153,1782054492158110133,1782054492158254896,1782054492158986830,1782054492159182215,81,ok
R01,ROS_TCP,154,1782054492241551707,1782054492241668381,1782054492242292312,1782054492242630598,82,ok
R01,ROS_TCP,155,1782054492320376301,1782054492320470050,1782054492321292852,1782054492321688904,78,ok
R01,ROS_TCP,156,1782054492399003760,1782054492399191313,1782054492400097294,1782054492400223776,77,ok
