session_id,condition_id,participant_id,seq,t_frame_ns,size_bytes,mode
S00,C0,P00,1,770005082287761,384,COLOR
S00,C0,P00,2,770005139906249,472,COLOR
S00,C0,P00,3,770005196134879,367,COLOR
S00,C0,P00,4,770005247830726,495,COLOR
S00,C0,P00,5,770005305550781,425,COLOR
S00,C0,P00,6,770005361449526,467,COLOR
S00,C0,P00,7,770005413079629,352,COLOR
S00,C0,P00,8,770005454722070,500,COLOR
S00,C0,P00,9,770005502634668,348,COLOR
S00,C0,P00,10,770005545521663,362,COLOR
S00,C0,P00,11,770005611185704,491,COLOR
S00,C0,P00,12,770005659691990,382,COLOR
S00,C0,P00,13,770005720063620,530,COLOR
S00,C0,P00,14,770005776352860,404,COLOR
S00,C0,P00,15,770005830406852,439,COLOR
S00,C0,P00,16,770005893636395,404,COLOR
S00,C0,P00,17,770005948849153,453,COLOR
S00,C0,P00,18,770005999763361,437,COLOR
S00,C0,P00,19,770006051797128,394,COLOR
S00,C0,P00,20,770006114730108,417,COLOR
S00,C0,P00,21,770006167971083,446,COLOR
S00,C0,P00,22,770006231291422,309,COLOR
S00,C0,P00,23,770006276550158,427,COLOR
S00,C0,P00,24,770006327692710,465,COLOR
S00,C0,P00,25,770006383174645,424,COLOR
S00,C0,P00,26,770006420533496,453,COLOR
S00,C0,P00,27,770006494061775,428,COLOR
S00,C0,P00,28,770006557694562,414,COLOR
S00,C0,P00,29,770006621748936,479,COLOR
S00,C0,P00,30,770006672753359,466,COLOR
S00,C0,P00,31,770006725718460,407,COLOR
S00,C0,P00,32,770006789289448,383,COLOR
S00,C0,P00,33,770006837669953,458,COLOR
S00,C0,P00,34,770006885002291,467,COLOR
S00,C0,P00,35,770006935688954,448,COLOR
S00,C0,P00,36,770006996652225,391,COLOR
S00,C0,P00,37,770007047591434,353,COLOR
S00,C0,P00,38,770007112216191,451,COLOR
S00,C0,P00,39,770007172655095,437,COLOR
S00,C0,P00,40,770007228844790,309,COLOR
S00,C0,P00,41,770007268993570,431,COLOR
S00,C0,P00,42,770007322776976,472,COLOR
S00,C0,P00,43,770007376397426,453,COLOR
S00,C0,P00,44,770007432346671,330,COLOR
S00,C0,P00,45,770007477235569,480,COLOR
S00,C0,P00,46,770007531568203,429,COLOR
S00,C0,P00,47,770007575357796,406,COLOR
S00,C0,P00,48,770007613866567,388,COLOR
S00,C0,P00,49,770007669988074,390,COLOR
S00,C0,P00,50,770007724250212,441,COLOR
S00,C0,P00,51,770007780000000,376,COLOR
S00,C0,P00,1,770001526676377,452,COLOR
S00,C0,P00,2,770001581994264,481,COLOR
S00,C0,P00,3,770001633678017,428,COLOR
S00,C0,P00,4,770001686859147,428,COLOR
S00,C0,P00,5,770001734475816,358,COLOR
S00,C0,P00,6,770001804579576,439,COLOR
S00,C0,P00,7,770001850188215,373,COLOR
S00,C0,P00,8,770001907966531,373,COLOR
S00,C0,P00,9,770001965567119,347,COLOR
S00,C0,P00,10,770002014487393,389,COLOR
S00,C0,P00,11,770002067174753,394,COLOR
S00,C0,P00,12,770002105923188,371,COLOR
S00,C0,P00,13,770002162988425,399,COLOR
S00,C0,P00,14,770002208752294,438,COLOR
S00,C0,P00,15,770002269299388,316,COLOR
S00,C0,P00,16,770002312699332,366,COLOR
S00,C0,P00,17,770002368247969,348,COLOR
S00,C0,P00,18,770002422676161,406,COLOR
S00,C0,P00,19,770002469628136,330,COLOR
S00,C0,P00,20,770002522980129,367,COLOR
S00,C0,P00,21,770002568323152,408,COLOR
S00,C0,P00,22,770002623554060,459,COLOR
S00,C0,P00,23,770002676885902,397,COLOR
S00,C0,P00,24,770002740169082,446,COLOR
S00,C0,P00,25,770002803246103,410,COLOR
S00,C0,P00,26,770002853839063,389,COLOR
S00,C0,P00,27,770002911243789,419,COLOR
S00,C0,P00,28,770002968622482,412,COLOR
S00,C0,P00,29,770003030774761,318,COLOR
S00,C0,P00,30,770003089060847,439,COLOR
S00,C0,P00,31,770003139473707,453,COLOR
S00,C0,P00,32,770003199480314,450,COLOR
S00,C0,P00,33,770003252085421,396,COLOR
S00,C0,P00,34,770003297332074,349,COLOR
S00,C0,P00,35,770003348658000,380,COLOR
S00,C0,P00,36,770003395854294,446,COLOR
S00,C0,P00,37,770003445355241,435,COLOR
S00,C0,P00,38,770003507536658,434,COLOR
S00,C0,P00,39,770003553423464,466,COLOR
S00,C0,P00,40,770003608004894,340,COLOR
S00,C0,P00,41,770003655848422,443,COLOR
S00,C0,P00,42,770003696446175,380,COLOR
S00,C0,P00,43,770003749379774,374,COLOR
S00,C0,P00,44,770003795520522,349,COLOR
S00,C0,P00,45,770003852659525,537,COLOR
S00,C0,P00,46,770003904259055,503,COLOR
S00,C0,P00,47,770003967815736,464,COLOR
S00,C0,P00,48,770004018396852,340,COLOR
S00,C0,P00,49,770004079877472,366,COLOR
S00,C0,P00,50,770004143638210,398,COLOR
S00,C0,P00,51,770004203579987,471,COLOR
S00,C0,P00,52,770004263172159,455,COLOR
S00,C0,P00,53,770004310138944,449,COLOR
S00,C0,P00,54,770004365790851,431,COLOR
S00,C0,P00,55,770004426090243,446,COLOR
S00,C0,P00,56,770004483372777,395,COLOR
S00,C0,P00,57,770004526987604,391,COLOR
S00,C0,P00,58,770004578005991,443,COLOR
S00,C0,P00,59,770004628118105,369,COLOR
S00,C0,P00,60,770004694442185,436,COLOR
S00,C0,P00,61,770004743881475,373,COLOR
S00,C0,P00,62,770004798213957,424,COLOR
S00,C0,P00,63,770004867450312,373,COLOR
S00,C0,P00,64,770004925470054,396,COLOR
S00,C0,P00,65,770004981288849,335,COLOR
S00,C0,P00,66,770005030606118,409,COLOR
S00,C0,P00,1,770000000000000,374,COLOR
S00,C0,P00,2,770000050005876,359,COLOR
S00,C0,P00,3,770000091100716,369,COLOR
S00,C0,P00,4,770000152176113,458,COLOR
S00,C0,P00,5,770000198068775,483,COLOR
S00,C0,P00,6,770000253351515,389,COLOR
S00,C0,P00,7,770000303688487,433,COLOR
S00,C0,P00,8,770000352618594,443,COLOR
S00,C0,P00,9,770000422308185,529,COLOR
S00,C0,P00,10,770000482423908,479,COLOR
S00,C0,P00,11,770000544219069,441,COLOR
S00,C0,P00,12,770000589888759,372,COLOR
S00,C0,P00,13,770000648356780,441,COLOR
S00,C0,P00,14,770000697496663,446,COLOR
S00,C0,P00,15,770000735393386,507,COLOR
S00,C0,P00,16,770000784689271,407,COLOR
S00,C0,P00,17,770000847528159,446,COLOR
S00,C0,P00,18,770000892523913,535,COLOR
S00,C0,P00,19,770000939157728,364,COLOR
S00,C0,P00,20,770000982137358,368,COLOR
S00,C0,P00,21,770001042059667,387,COLOR
S00,C0,P00,22,770001094316208,469,COLOR
S00,C0,P00,23,770001147249185,405,COLOR
S00,C0,P00,24,770001214695521,392,COLOR
S00,C0,P00,25,770001271162073,373,COLOR
S00,C0,P00,26,770001323361290,416,COLOR
S00,C0,P00,27,770001370559850,368,COLOR
S00,C0,P00,28,770001423356370,517,COLOR
S00,C0,P00,29,770001473009548,439,COLOR
