session_id,condition_id,participant_id,seq,msg_type,t_q_send_local_ms,t_q_send_ref_ms,lx,ly,az,action_id
S01,C1,P01,1,cmd,1776951568085,1776951568084.932,0.0,0.0,0.0,0
S01,C1,P01,5,cmd,1776951575542,1776951575401.965,0.23,0.0,-0.099,0
S01,C1,P01,6,cmd,1776951575596,1776951575455.921,0.23,0.0,-0.099,0
S01,C1,P01,7,cmd,1776951575651,1776951575511.007,0.23,0.0,-0.099,0
S01,C1,P01,8,cmd,1776951575707,1776951575566.958,0.23,0.0,-0.099,0
S01,C1,P01,9,cmd,1776951575763,1776951575622.967,0.23,0.0,-0.099,0
S01,C1,P01,10,cmd,1776951575818,1776951575677.974,0.23,0.0,-0.099,0
S01,C1,P01,11,cmd,1776951575875,1776951575735.074,0.23,0.0,-0.099,0
S01,C1,P01,12,cmd,1776951575929,1776951575788.995,0.23,0.0,-0.099,0
S01,C1,P01,13,cmd,1776951575985,1776951575844.999,0.23,0.0,-0.099,0
S01,C1,P01,15,cmd,1776951576042,1776951575894.943,0.23,0.0,-0.099,0
S01,C1,P01,16,cmd,1776951576097,1776951575950.006,0.193,0.0,0.027,0
S01,C1,P01,17,cmd,1776951576152,1776951576005.011,0.0,0.0,0.056,0
S01,C1,P01,18,cmd,1776951576208,1776951576061.031,-0.233,0.0,0.071,0
S01,C1,P01,19,cmd,1776951576263,1776951576115.983,-0.246,0.0,0.045,0
S01,C1,P01,20,cmd,1776951576318,1776951576171.05,-0.247,0.0,0.039,0
S01,C1,P01,21,cmd,1776951576374,1776951576226.945,-0.247,0.0,0.039,0
S01,C1,P01,22,cmd,1776951576429,1776951576281.952,-0.247,0.0,0.039,0
S01,C1,P01,23,cmd,1776951576485,1776951576337.999,-0.247,0.0,0.039,0
S01,C1,P01,24,cmd,1776951576541,1776951576394.077,-0.247,0.0,0.039,0
S01,C1,P01,25,cmd,1776951576596,1776951576449.026,-0.247,0.0,0.039,0
S01,C1,P01,26,cmd,1776951576652,1776951576504.952,-0.247,0.0,0.039,0
S01,C1,P01,27,cmd,1776951576707,1776951576560.041,-0.247,0.0,0.039,0
S01,C1,P01,28,cmd,1776951576763,1776951576616.075,-0.249,0.0,0.027,0
S01,C1,P01,29,cmd,1776951576819,1776951576671.923,-0.237,0.0,0.078,0
S01,C1,P01,30,cmd,1776951576875,1776951576728.009,-0.162,0.0,0.191,0
S01,C1,P01,31,cmd,1776951576930,1776951576783.008,-0.054,0.0,0.244,0
S01,C1,P01,32,cmd,1776951576985,1776951576837.924,0.0,0.0,0.25,0
S01,C1,P01,33,cmd,1776951577041,1776951576894.005,0.0,0.0,0.249,0
S01,C1,P01,34,cmd,1776951577096,1776951576949.056,0.022,0.0,0.249,0
S01,C1,P01,35,cmd,1776951577152,1776951577005.001,0.024,0.0,0.249,0
S01,C1,P01,36,cmd,1776951577207,1776951577059.938,0.025,0.0,0.249,0
S01,C1,P01,37,cmd,1776951577263,1776951577116.048,0.026,0.0,0.249,0
S01,C1,P01,38,cmd,1776951577318,1776951577171.003,0.027,0.0,0.249,0
S01,C1,P01,39,cmd,1776951577374,1776951577226.99,0.028,0.0,0.248,0
S01,C1,P01,40,cmd,1776951577429,1776951577282.012,0.03,0.0,0.248,0
S01,C1,P01,41,cmd,1776951577485,1776951577338.018,0.045,0.0,0.246,0
S01,C1,P01,42,cmd,1776951577541,1776951577394.03,0.068,0.0,0.24,0
S01,C1,P01,43,cmd,1776951577597,1776951577449.985,0.115,0.0,0.155,0
S01,C1,P01,44,cmd,1776951577652,1776951577505.061,0.162,0.0,-0.132,0
S01,C1,P01,45,cmd,1776951577707,1776951577560.028,0.106,0.0,-0.227,0
S01,C1,P01,46,cmd,1776951577763,1776951577616.044,0.095,0.0,-0.231,0
S01,C1,P01,47,cmd,1776951577818,1776951577670.964,0.095,0.0,-0.231,0
S01,C1,P01,48,cmd,1776951577874,1776951577726.94,0.098,0.0,-0.23,0
S01,C1,P01,49,cmd,1776951577930,1776951577783.004,0.113,0.0,-0.223,0
S01,C1,P01,50,cmd,1776951577986,1776951577839.041,0.105,0.0,0.075,0
S01,C1,P01,52,cmd,1776951578042,1776951577889.928,0.0,0.0,0.25,0
S01,C1,P01,53,cmd,1776951578097,1776951577944.992,0.022,0.0,0.249,0
S01,C1,P01,54,cmd,1776951578152,1776951578000.058,0.076,0.0,0.238,0
S01,C1,P01,55,cmd,1776951578208,1776951578055.966,0.0,0.0,0.0,0
S01,C1,P01,56,cmd,1776951578485,1776951578332.992,0.052,0.0,0.077,0
S01,C1,P01,57,cmd,1776951578542,1776951578390.02,-0.084,0.0,0.0,0
S01,C1,P01,58,cmd,1776951578597,1776951578444.944,-0.19,0.0,-0.04,0
S01,C1,P01,59,cmd,1776951578652,1776951578500.068,-0.245,0.0,-0.052,0
S01,C1,P01,60,cmd,1776951578707,1776951578554.935,-0.247,0.0,-0.037,0
S01,C1,P01,61,cmd,1776951578763,1776951578611.01,-0.248,0.0,-0.031,0
S01,C1,P01,62,cmd,1776951578819,1776951578666.964,-0.248,0.0,-0.029,0
S01,C1,P01,63,cmd,1776951578874,1776951578722.007,-0.249,0.0,-0.026,0
S01,C1,P01,64,cmd,1776951578930,1776951578778.078,-0.249,0.0,-0.022,0
S01,C1,P01,65,cmd,1776951578985,1776951578833.006,-0.25,0.0,0.0,0
S01,C1,P01,66,cmd,1776951579041,1776951578889.006,-0.25,0.0,0.0,0
S01,C1,P01,67,cmd,1776951579097,1776951578944.949,-0.25,0.0,0.0,0
S01,C1,P01,68,cmd,1776951579152,1776951579000.052,-0.25,0.0,0.0,0
S01,C1,P01,69,cmd,1776951579207,1776951579055.049,-0.249,0.0,0.022,0
S01,C1,P01,70,cmd,1776951579263,1776951579111.019,-0.248,0.0,0.028,0
S01,C1,P01,71,cmd,1776951579319,1776951579167.076,-0.248,0.0,0.033,0
S01,C1,P01,72,cmd,1776951579374,1776951579221.974,-0.247,0.0,0.037,0
S01,C1,P01,73,cmd,1776951579429,1776951579277.049,-0.247,0.0,0.039,0
S01,C1,P01,74,cmd,1776951579485,1776951579332.954,-0.246,0.0,0.042,0
S01,C1,P01,75,cmd,1776951579541,1776951579389.076,-0.246,0.0,0.043,0
