session_id,condition_id,participant_id,seq,original_type,t_q_send_ref_ms,t_b_recv_ms,t_b_pub_ms,t_r_recv_ms
S01,C1,P01,1,cmd,1776951568084.932,1776951568087.171,1776951568088.483,1776951568088.65
S01,C1,P01,5,cmd,1776951575401.965,1776951575408.73,1776951575409.878,1776951575412.795
S01,C1,P01,6,cmd,1776951575455.921,1776951575461.39,1776951575462.369,1776951575466.157
S01,C1,P01,7,cmd,1776951575511.007,1776951575514.231,1776951575515.36,1776951575518.049
S01,C1,P01,8,cmd,1776951575566.958,1776951575570.345,1776951575571.507,1776951575574.707
S01,C1,P01,9,cmd,1776951575622.967,1776951575626.632,1776951575628.089,1776951575631.702
S01,C1,P01,10,cmd,1776951575677.974,1776951575694.634,1776951575695.582,1776951575702.772
S01,C1,P01,11,cmd,1776951575735.074,1776951575736.914,1776951575737.812,1776951575738.694
S01,C1,P01,12,cmd,1776951575788.995,1776951575790.836,1776951575792.446,1776951575792.616
S01,C1,P01,13,cmd,1776951575844.999,1776951575862.11,1776951575862.78,1776951575873.552
S01,C1,P01,15,cmd,1776951575894.943,1776951575899.262,1776951575899.99,1776951575902.242
S01,C1,P01,16,cmd,1776951575950.006,1776951575954.174,1776951575955.306,1776951575957.297
S01,C1,P01,17,cmd,1776951576005.011,1776951576010.161,1776951576010.967,1776951576013.325
S01,C1,P01,18,cmd,1776951576061.031,1776951576073.266,1776951576074.326,1776951576080.035
S01,C1,P01,19,cmd,1776951576115.983,1776951576119.336,1776951576120.89,1776951576121.239
S01,C1,P01,20,cmd,1776951576171.05,1776951576173.806,1776951576175.066,1776951576177.581
S01,C1,P01,21,cmd,1776951576226.945,1776951576231.031,1776951576231.911,1776951576231.981
S01,C1,P01,22,cmd,1776951576281.952,1776951576287.51,1776951576288.185,1776951576290.55
S01,C1,P01,23,cmd,1776951576337.999,1776951576341.224,1776951576342.108,1776951576343.22
S01,C1,P01,24,cmd,1776951576394.077,1776951576400.619,1776951576402.371,1776951576407.346
S01,C1,P01,25,cmd,1776951576449.026,1776951576450.866,1776951576452.148,1776951576452.646
S01,C1,P01,26,cmd,1776951576504.952,1776951576508.212,1776951576509.166,1776951576509.501
S01,C1,P01,27,cmd,1776951576560.041,1776951576561.968,1776951576563.484,1776951576563.662
S01,C1,P01,28,cmd,1776951576616.075,1776951576623.02,1776951576624.079,1776951576626.601
S01,C1,P01,29,cmd,1776951576671.923,1776951576676.133,1776951576677.404,1776951576677.79
S01,C1,P01,30,cmd,1776951576728.009,1776951576735.177,1776951576736.461,1776951576741.309
S01,C1,P01,31,cmd,1776951576783.008,1776951576786.524,1776951576787.451,1776951576788.201
S01,C1,P01,32,cmd,1776951576837.924,1776951576840.903,1776951576841.868,1776951576842.428
S01,C1,P01,33,cmd,1776951576894.005,1776951576896.249,1776951576897.344,1776951576897.625
S01,C1,P01,34,cmd,1776951576949.056,1776951576951.358,1776951576952.561,1776951576952.676
S01,C1,P01,35,cmd,1776951577005.001,1776951577006.841,1776951577007.876,1776951577008.621
S01,C1,P01,36,cmd,1776951577059.938,1776951577063.315,1776951577064.63,1776951577065.408
S01,C1,P01,37,cmd,1776951577116.048,1776951577120.847,1776951577122.724,1776951577123.944
S01,C1,P01,38,cmd,1776951577171.003,1776951577173.672,1776951577174.552,1776951577174.622
S01,C1,P01,39,cmd,1776951577226.99,1776951577235.712,1776951577237.042,1776951577241.836
S01,C1,P01,40,cmd,1776951577282.012,1776951577295.21,1776951577295.821,1776951577303.073
S01,C1,P01,41,cmd,1776951577338.018,1776951577343.518,1776951577345.099,1776951577349.096
