session_id,condition_id,participant_id,seq,t_frame_ns,size_bytes,mode
S01,C1,P01,1,830000000000000,612,DEPTH
S01,C1,P01,2,830000056647292,593,DEPTH
S01,C1,P01,3,830000115247792,699,DEPTH
S01,C1,P01,4,830000176399053,642,DEPTH
S01,C1,P01,5,830000218872521,595,DEPTH
S01,C1,P01,6,830000279457410,619,DEPTH
S01,C1,P01,7,830000333174671,649,DEPTH
S01,C1,P01,8,830000386514804,696,DEPTH
S01,C1,P01,9,830000456668520,631,DEPTH
S01,C1,P01,10,830000517119366,693,DEPTH
S01,C1,P01,11,830000562911280,666,DEPTH
S01,C1,P01,12,830000624376751,617,DEPTH
S01,C1,P01,13,830000679364377,639,DEPTH
S01,C1,P01,14,830000737266616,677,DEPTH
S01,C1,P01,15,830000787077464,601,DEPTH
S01,C1,P01,16,830000850886940,689,DEPTH
S01,C1,P01,17,830000916961851,575,DEPTH
S01,C1,P01,18,830000975108522,635,DEPTH
S01,C1,P01,19,830001039397304,625,DEPTH
S01,C1,P01,20,830001088765766,690,DEPTH
S01,C1,P01,21,830001144740571,587,DEPTH
S01,C1,P01,22,830001199724695,600,DEPTH
S01,C1,P01,23,830001268378653,683,DEPTH
S01,C1,P01,24,830001325676020,642,DEPTH
S01,C1,P01,25,830001378429724,705,DEPTH
S01,C1,P01,26,830001426780969,678,DEPTH
S01,C1,P01,27,830001474814480,632,DEPTH
S01,C1,P01,28,830001529546861,636,DEPTH
S01,C1,P01,29,830001578215126,750,DEPTH
