session_id,condition_id,participant_id,seq,t_frame_ns,t_q_recv_local_ns,t_q_recv_ref_ns,t_q_display_local_ns,t_q_display_ref_ns,size_bytes
S00,C0,P00,1,770000000000000,770000018301188,770000018234120,770000019490294,770000019403228,374
S00,C0,P00,2,770000050005876,770000072514173,770000072656354,770000074054686,770000074107008,359
S00,C0,P00,3,770000091100716,770000110255065,770000110311390,770000112090274,770000112568417,369
S00,C0,P00,4,770000152176113,770000170918384,770000171085897,770000172574953,770000172485295,458
S00,C0,P00,5,770000198068775,770000217297642,770000217484887,770000219744175,770000219852974,483
S00,C0,P00,6,770000253351515,770000271186320,770000271273267,770000273033392,770000273146415,389
S00,C0,P00,7,770000303688487,770000324471368,770000324304721,770000326122649,770000326191160,433
S00,C0,P00,8,770000352618594,770000370859229,770000370731377,770000372254406,770000372571473,443
S00,C0,P00,9,770000422308185,770000442742001,770000442607341,770000445134485,770000444996319,529
S00,C0,P00,10,770000482423908,770000500906659,770000500909941,770000503435435,770000503372876,479
S00,C0,P00,11,770000544219069,770000563715123,770000563926835,770000564747381,770000564874116,441
S00,C0,P00,12,770000589888759,770000609804405,770000609795751,770000611461581,770000611322832,372
S00,C0,P00,13,770000648356780,770000668539439,770000668430358,770000670783831,770000670741401,441
S00,C0,P00,14,770000697496663,770000719160091,770000719172770,770000721112228,770000721041231,446
S00,C0,P00,15,770000735393386,770000754464236,770000754513755,770000756822839,770000757004010,507
S00,C0,P00,16,770000784689271,770000806229161,770000805696784,770000807694349,770000807808357,407
S00,C0,P00,17,770000847528159,770000869396449,770000869566012,770000871523228,770000871592614,446
S00,C0,P00,18,770000892523913,770000911144542,770000911102718,770000912794340,770000912773640,535
S00,C0,P00,19,770000939157728,770000959894494,770000959889705,770000961252402,770000961336221,364
S00,C0,P00,20,770000982137358,770001000384037,770001000488191,770001001170994,770001001174301,368
S00,C0,P00,21,770001042059667,770001060486969,770001060557103,770001062297717,770001062478244,387
S00,C0,P00,22,770001094316208,770001113861405,770001113823318,770001115273135,770001115053320,469
S00,C0,P00,23,770001147249185,770001166573199,770001166653561,770001168482367,770001168526783,405
S00,C0,P00,24,770001214695521,770001234489570,770001234152862,770001236882580,770001237060246,392
S00,C0,P00,25,770001271162073,770001290986040,770001290908910,770001292325150,770001292525453,373
S00,C0,P00,26,770001323361290,770001341203287,770001341263634,770001343033990,770001343086132,416
S00,C0,P00,27,770001370559850,770001391381015,770001391440797,770001394417332,770001394468982,368
S00,C0,P00,28,770001423356370,770001442521374,770001442647522,770001443504260,770001443633880,517
S00,C0,P00,29,770001473009548,770001491910498,770001492009656,770001493566963,770001493678834,439
S00,C0,P00,30,770001526676377,770001544518375,770001544570634,770001547223952,770001547266205,452
S00,C0,P00,31,770001581994264,770001600457266,770001600493340,770001602206522,770001602013925,481
S00,C0,P00,32,770001633678017,770001652479071,770001652566718,770001655689345,770001655653082,428
S00,C0,P00,33,770001686859147,770001705811368,770001705929740,770001707050320,770001707166896,428
S00,C0,P00,34,770001734475816,770001754026923,770001753783838,770001755858948,770001755759925,358
S00,C0,P00,35,770001850188215,770001869579324,770001869516024,770001870099324,770001869951593,373
S00,C0,P00,36,770001907966531,770001928319618,770001928247164,770001930678767,770001930565246,373
S00,C0,P00,37,770001965567119,770001984577110,770001984636737,770001986003201,770001985865732,347
S00,C0,P00,38,770002067174753,770002085779601,770002085883502,770002087175230,770002087129941,394
S00,C0,P00,39,770002105923188,770002125894451,770002125855344,770002127278751,770002127078121,371
S00,C0,P00,40,770002162988425,770002181680267,770002181951085,770002183548647,770002183533652,399
S00,C0,P00,41,770002208752294,770002226594291,770002226528235,770002228920497,770002228800615,438
S00,C0,P00,42,770002269299388,770002289871136,770002290148218,770002292111093,770002292248923,316
S00,C0,P00,43,770002312699332,770002330541330,770002330469085,770002331113283,770002330969677,366
S00,C0,P00,44,770002422676161,770002440518158,770002440623952,770002442185034,770002442131758,406
S00,C0,P00,45,770002469628136,770002487470133,770002487330919,770002489787639,770002489953124,330
S00,C0,P00,46,770002522980129,770002540822126,770002540898673,770002542510122,770002542469585,367
S00,C0,P00,47,770002568323152,770002587351843,770002587603906,770002591700322,770002591857635,408
S00,C0,P00,48,770002623554060,770002641396057,770002641343059,770002643107228,770002643254140,459
S00,C0,P00,49,770002676885902,770002696511270,770002696408318,770002698872342,770002698771398,397
S00,C0,P00,50,770002740169082,770002760022118,770002760044509,770002762586434,770002762583371,446
S00,C0,P00,51,770002803246103,770002821562586,770002821375681,770002823197643,770002823305042,410
S00,C0,P00,52,770002853839063,770002871982083,770002872184460,770002873443304,770002873476362,389
S00,C0,P00,53,770002911243789,770002932214252,770002932381787,770002932786206,770002932890352,419
S00,C0,P00,54,770002968622482,770002987528868,770002987557099,770002988687720,770002988850364,412
S00,C0,P00,55,770003089060847,770003109308780,770003109346495,770003111415900,770003111613535,439
S00,C0,P00,56,770003199480314,770003217419713,770003217574719,770003219024338,770003219197909,450
S00,C0,P00,57,770003252085421,770003273302002,770003273596921,770003275067365,770003274856356,396
S00,C0,P00,58,770003348658000,770003367790415,770003367911394,770003371110207,770003371187655,380
S00,C0,P00,59,770003395854294,770003414694353,770003414846390,770003416178528,770003416232486,446
S00,C0,P00,60,770003445355241,770003464481638,770003464587773,770003467417355,770003467352168,435
S00,C0,P00,61,770003507536658,770003525378655,770003525302824,770003528281016,770003528157548,434
S00,C0,P00,62,770003553423464,770003571292286,770003570949585,770003574627642,770003574768849,466
S00,C0,P00,63,770003608004894,770003628348155,770003628395351,770003630099656,770003629907950,340
S00,C0,P00,64,770003696446175,770003716646334,770003716674113,770003719159072,770003719212843,380
S00,C0,P00,65,770003749379774,770003769456318,770003769346988,770003770354434,770003770522714,374
S00,C0,P00,66,770003795520522,770003813867703,770003814016952,770003816425947,770003816628390,349
S00,C0,P00,67,770003852659525,770003873685337,770003873766227,770003876112944,770003875816633,537
S00,C0,P00,68,770003904259055,770003925045769,770003925095784,770003926749277,770003926632039,503
S00,C0,P00,69,770003967815736,770003989051465,770003989210797,770003991481320,770003991349693,464
S00,C0,P00,70,770004018396852,770004036238849,770004036101506,770004037831438,770004037821628,340
S00,C0,P00,71,770004143638210,770004162921656,770004162797809,770004164261215,770004164379201,398
S00,C0,P00,72,770004203579987,770004222348653,770004222347083,770004224191322,770004224179913,471
S00,C0,P00,73,770004263172159,770004285377549,770004285190800,770004287792269,770004287847018,455
S00,C0,P00,74,770004310138944,770004327980941,770004327658182,770004330356435,770004330324016,449
S00,C0,P00,75,770004365790851,770004388032971,770004387957068,770004389797359,770004389492275,431
S00,C0,P00,76,770004426090243,770004444121380,770004444046641,770004446047642,770004446056428,446
S00,C0,P00,77,770004483372777,770004505648122,770004505654803,770004506746511,770004506830928,395
S00,C0,P00,78,770004526987604,770004546034249,770004546055515,770004547369277,770004547394492,391
S00,C0,P00,79,770004628118105,770004646268046,770004646743821,770004648926797,770004648720851,369
S00,C0,P00,80,770004694442185,770004713698631,770004713795975,770004716750470,770004716901721,436
S00,C0,P00,81,770004743881475,770004762461743,770004762326940,770004763940094,770004763972534,373
S00,C0,P00,82,770004798213957,770004816191286,770004816318384,770004818593277,770004818372177,424
S00,C0,P00,83,770004867450312,770004889840654,770004890010063,770004892074731,770004892131377,373
S00,C0,P00,84,770004925470054,770004947694747,770004947686209,770004949511565,770004949382963,396
S00,C0,P00,85,770004981288849,770004999976875,770004999957692,770005001649492,770005001447498,335
S00,C0,P00,86,770005030606118,770005048954273,770005048957284,770005050112560,770005050356391,409
S00,C0,P00,87,770005082287761,770005100922589,770005100806718,770005102611167,770005102553770,384
S00,C0,P00,88,770005139906249,770005158608580,770005158630309,770005159605672,770005159594510,472
S00,C0,P00,89,770005196134879,770005215976243,770005215661320,770005217753727,770005218042922,367
S00,C0,P00,90,770005247830726,770005267872894,770005267825721,770005269801837,770005269959944,495
S00,C0,P00,91,770005305550781,770005325013252,770005324861538,770005325764119,770005325674344,425
S00,C0,P00,92,770005361449526,770005380418521,770005380722105,770005382416794,770005382399436,467
S00,C0,P00,93,770005413079629,770005430921626,770005430824806,770005432977890,770005433099560,352
S00,C0,P00,94,770005454722070,770005473566097,770005473567699,770005476036579,770005476121707,500
S00,C0,P00,95,770005502634668,770005520771298,770005520836488,770005524093178,770005524299904,348
S00,C0,P00,96,770005545521663,770005563930091,770005563745284,770005566269434,770005566065243,362
S00,C0,P00,97,770005611185704,770005630925462,770005630915427,770005632632975,770005632558503,491
S00,C0,P00,98,770005659691990,770005680975833,770005680873937,770005683026297,770005682894963,382
S00,C0,P00,99,770005720063620,770005738243487,770005738061727,770005740517984,770005740421588,530
S00,C0,P00,100,770005776352860,770005796416705,770005796355872,770005797823514,770005797699534,404
S00,C0,P00,101,770005830406852,770005849002362,770005849136382,770005850546027,770005850553710,439
S00,C0,P00,102,770005893636395,770005912327558,770005912542568,770005914793230,770005914873751,404
S00,C0,P00,103,770005948849153,770005968224806,770005968367949,770005969936332,770005969911136,453
S00,C0,P00,104,770005999763361,770006017676861,770006017731443,770006018594265,770006018543690,437
S00,C0,P00,105,770006051797128,770006070279534,770006070101009,770006071977431,770006071927007,394
S00,C0,P00,106,770006114730108,770006134115192,770006134122440,770006135702238,770006135711203,417
S00,C0,P00,107,770006167971083,770006187485854,770006187467391,770006189031861,770006189096607,446
S00,C0,P00,108,770006276550158,770006300128088,770006299874850,770006300950564,770006300793477,427
S00,C0,P00,109,770006327692710,770006347006334,770006346857318,770006348374572,770006348462183,465
S00,C0,P00,110,770006383174645,770006401016643,770006400745041,770006402611368,770006402724852,424
S00,C0,P00,111,770006420533496,770006439844170,770006439868817,770006441873440,770006441785603,453
S00,C0,P00,112,770006494061775,770006516016037,770006516089487,770006517477131,770006517696327,428
S00,C0,P00,113,770006557694562,770006577136382,770006576954000,770006578535674,770006578640529,414
S00,C0,P00,114,770006621748936,770006640802261,770006640900450,770006642405260,770006642449424,479
S00,C0,P00,115,770006672753359,770006692692790,770006692735332,770006694207206,770006694272237,466
S00,C0,P00,116,770006725718460,770006743587309,770006743558595,770006744802893,770006744807295,407
S00,C0,P00,117,770006789289448,770006808182158,770006808084102,770006810516461,770006810544774,383
S00,C0,P00,118,770006837669953,770006856874049,770006856833077,770006858221877,770006858174023,458
